unit price ,best price ,date,transaction ID,quantity,store name,total,subcategory,discount,item ID,category,brand,customer ID,payment types,gender,location
2.41,1.9,7/4/2025,WOOL-8771088,1,Metro,1.9,Avocado,2.41,120085,Fruit & Veg,Hass,WOOL-3DB5FEA03E,Credit card,Male,Canberra
1.83,1.3,20/4/2025,WOOL-7817870,7,Woolworths,9.1,Cucumber,1.83,137131,Fruit & Veg,Lebanese,WOOL-1C36851001,Cash,Male,Melbourne
0.86,0.55,8/4/2025,WOOL-A983794,2,Woolworths,1.1,Bananas,0.86,133219,Fruit & Veg,Cavendish,WOOL-2148724668,Credit card,Female,Canberra
1.97,1.38,15/4/2025,WOOL-1340174,1,Woolworths,1.38,Avocado,1.97,120080,Fruit & Veg,Hass,WOOL-8AA2199DD3,Store card,Male,Perth
8.73,8.73,16/4/2025,WOOL-1944151,3,Metro,26.19,Light Globes,8.73,197768,Cleaning & Maintenance,Mirabella,WOOL-2034733416,Gift card,Female,Sydney
0.75,0.29,5/4/2025,WOOL-A520651,8,Metro,2.32,Potatoes,0.75,208898,Fruit & Veg,Potato,WOOL-100D004335,Credit card,Male,Sydney
14.41,10.81,29/4/2025,WOOL-8169403,1,Metro,10.81,Padlocks,14.41,747028,Cleaning & Maintenance,Master,WOOL-F7407F2AA9,Store card,Male,Darwin
0.36,0.1,23/4/2025,WOOL-6694731,5,Metro,0.5,Mandarin,0.36,829108,Fruit & Veg,Mandarin,WOOL-5CF7A7C18C,Credit card,Male,Melbourne
0.75,0.26,28/4/2025,WOOL-A322955,4,Metro,1.04,Apples,0.75,105919,Fruit & Veg,Fresh,WOOL-E8978D76BE,Cash,Female,Hobart
1.46,1.01,27/4/2025,WOOL-F514850,3,Metro,3.03,Broccoli,1.46,134691,Fruit & Veg,Fresh,WOOL-D37A238899,Credit card,Male,Perth
0.83,0.45,18/4/2025,WOOL-E249811,5,Woolworths,2.25,Apples,0.83,105923,Fruit & Veg,Fresh,WOOL-AC08341458,EFTPOS,Female,Darwin
2.38,1.71,28/4/2025,WOOL-8246413,9,Woolworths,15.39,Cucumber,2.38,137132,Fruit & Veg,Lebanese,WOOL-EC1B7B48E0,EFTPOS,Male,Darwin
0.86,0.49,3/4/2025,WOOL-7881177,2,Metro,0.98,Potatoes,0.86,208897,Fruit & Veg,Potato,WOOL-F964A3A1EC,Gift card,Female,Perth
2.27,1.7,5/4/2025,WOOL-8883300,1,Metro,1.7,Avocado,2.27,120084,Fruit & Veg,Hass,WOOL-89E1FA3625,Credit card,Female,Sydney
0.66,0.32,2/4/2025,WOOL-D711878,8,Woolworths,2.56,Tomatoes,0.66,134043,Fruit & Veg,Fresh,WOOL-44332194F3,EFTPOS,Male,Brisbane
0.9,0.45,9/4/2025,WOOL-C479580,4,Metro,1.8,Bananas,0.9,133220,Fruit & Veg,Cavendish,WOOL-567207AC38,Credit card,Female,Melbourne
0.55,0.12,11/4/2025,WOOL-7245051,3,Metro,0.36,Onion,0.55,144335,Fruit & Veg,Onion,WOOL-40E5ABCA4E,Credit card,Female,Brisbane
0.59,0.59,7/4/2025,WOOL-F195325,4,Woolworths,2.36,Laundry Capsules,0.59,898837,Cleaning & Maintenance,Mnml,WOOL-D7F8967FD8,Gift card,Female,Brisbane
0.86,0.42,25/4/2025,WOOL-1214975,5,Woolworths,2.1,Bananas,0.86,133217,Fruit & Veg,Cavendish,WOOL-CE2BBFCC00,Credit card,Male,Adelaide
12.29,9.79,10/4/2025,WOOL-4757924,5,Metro,48.95,Insect Repellent,12.29,900327,Cleaning & Maintenance,Aerogard,WOOL-CA04C97FFC,Store card,Female,Darwin
2.03,1.5,7/4/2025,WOOL-5930555,8,Woolworths,12,Cucumber,2.03,137135,Fruit & Veg,Lebanese,WOOL-417A80F1EF,Gift card,Female,Canberra
10.25,8.28,16/4/2025,WOOL-D725380,3,Woolworths,24.84,Strawberries,10.25,144613,Fruit & Veg,Strawberries,WOOL-F8616F26C4,Cash,Male,Sydney
0.63,0.42,4/4/2025,WOOL-2503457,2,Woolworths,0.84,Onion,0.63,144330,Fruit & Veg,Onion,WOOL-F7B961CF87,Store card,Male,Canberra
1.09,0.65,24/4/2025,WOOL-C724834,4,Woolworths,2.6,Cleaning Tablets,1.09,173886,Cleaning & Maintenance,Restor,WOOL-035CBA3C72,Credit card,Male,Melbourne
0.79,0.35,2/4/2025,WOOL-E654816,3,Metro,1.05,Potatoes,0.79,208896,Fruit & Veg,Potato,WOOL-DAC997E9C0,EFTPOS,Male,Hobart
2.36,1.84,30/4/2025,WOOL-8680099,4,Metro,7.36,Cucumber,2.36,137136,Fruit & Veg,Lebanese,WOOL-3C4F8179E8,Cash,Male,Hobart
0.53,0.1,23/4/2025,WOOL-0813328,3,Woolworths,0.3,Laundry Capsules,0.53,898834,Cleaning & Maintenance,Mnml,WOOL-926940D1EA,Gift card,Male,Canberra
0.48,0.2,5/4/2025,WOOL-3814825,1,Woolworths,0.2,Mandarin,0.48,829110,Fruit & Veg,Mandarin,WOOL-08C4214565,EFTPOS,Male,Canberra
0.92,0.44,1/4/2025,WOOL-8905934,3,Woolworths,1.32,Apples,0.92,105927,Fruit & Veg,Fresh,WOOL-8179E704E7,Cash,Male,Melbourne
0.59,0.35,25/4/2025,WOOL-A216970,4,Woolworths,1.4,Tomatoes,0.59,134034,Fruit & Veg,Fresh,WOOL-3D56A4FCC5,Gift card,Male,Perth
0.59,0.1,21/4/2025,WOOL-9555884,5,Woolworths,0.5,Laundry Capsules,0.59,898836,Cleaning & Maintenance,Mnml,WOOL-65EA315119,Cash,Female,Darwin
9.69,8.05,22/4/2025,WOOL-5575763,3,Woolworths,24.15,Light Globes,9.69,197767,Cleaning & Maintenance,Mirabella,WOOL-E026736900,Store card,Female,Brisbane
0.73,0.4,23/4/2025,WOOL-0857168,1,Metro,0.4,Bananas,0.73,133217,Fruit & Veg,Cavendish,WOOL-D2F42DC7F3,Gift card,Male,Melbourne
10.53,7.87,2/4/2025,WOOL-8624902,3,Metro,23.61,Insect Repellent,10.53,900334,Cleaning & Maintenance,Aerogard,WOOL-CD8A5616F5,Gift card,Male,Adelaide
2.28,1.62,10/4/2025,WOOL-5632342,5,Metro,8.1,Avocado,2.28,120081,Fruit & Veg,Hass,WOOL-C9942C14D5,Credit card,Male,Melbourne
0.64,0.3,3/4/2025,WOOL-3755674,3,Metro,0.9,Tomatoes,0.64,134034,Fruit & Veg,Fresh,WOOL-7CE828B901,Cash,Female,Canberra
2.31,2.31,26/4/2025,WOOL-9982554,4,Metro,9.24,Cucumber,2.31,137139,Fruit & Veg,Lebanese,WOOL-D9D40C2553,Credit card,Female,Adelaide
16.93,16.93,19/4/2025,WOOL-6260263,3,Metro,50.79,Padlocks,16.93,747027,Cleaning & Maintenance,Master,WOOL-503AE5A800,EFTPOS,Male,Canberra
9.4,7.62,9/4/2025,WOOL-B899550,2,Metro,15.24,Strawberries,9.4,144615,Fruit & Veg,Strawberries,WOOL-C5DB89EA73,Gift card,Female,Sydney
0.65,0.4,2/4/2025,WOOL-5665579,5,Woolworths,2,Tomatoes,0.65,134038,Fruit & Veg,Fresh,WOOL-4C422B774C,Store card,Male,Hobart
11.62,8.43,8/4/2025,WOOL-0728038,1,Metro,8.43,Insect Repellent,11.62,900335,Cleaning & Maintenance,Aerogard,WOOL-46C3440668,Gift card,Male,Hobart
1.31,0.88,9/4/2025,WOOL-A612340,3,Metro,2.64,Cleaning Tablets,1.31,173885,Cleaning & Maintenance,Restor,WOOL-8246FA5537,EFTPOS,Male,Canberra
0.91,0.53,22/4/2025,WOOL-0217301,2,Woolworths,1.06,Potatoes,0.91,208903,Fruit & Veg,Potato,WOOL-3EF5A4C011,EFTPOS,Male,Melbourne
0.64,0.21,19/4/2025,WOOL-B972064,1,Metro,0.21,Laundry Capsules,0.64,898837,Cleaning & Maintenance,Mnml,WOOL-E47D4FB90C,Credit card,Female,Brisbane
8.28,6.42,27/4/2025,WOOL-9351083,3,Metro,19.26,Light Globes,8.28,197775,Cleaning & Maintenance,Mirabella,WOOL-0D9F3DB772,EFTPOS,Female,Sydney
2.07,1.49,13/4/2025,WOOL-1352572,3,Metro,4.47,Avocado,2.07,120090,Fruit & Veg,Hass,WOOL-F5FCB41602,Store card,Female,Hobart
0.37,0.24,3/4/2025,WOOL-2189814,5,Metro,1.2,Mandarin,0.37,829111,Fruit & Veg,Mandarin,WOOL-0DBFC4A9E4,Credit card,Female,Perth
0.86,0.36,21/4/2025,WOOL-F955662,5,Woolworths,1.8,Apples,0.86,105924,Fruit & Veg,Fresh,WOOL-4285A31D94,EFTPOS,Female,Sydney
0.8,0.51,23/4/2025,WOOL-2897549,5,Woolworths,2.55,Potatoes,0.8,208905,Fruit & Veg,Potato,WOOL-64E4BEB578,Credit card,Female,Hobart
2.37,1.77,16/4/2025,WOOL-4234628,3,Metro,5.31,Cucumber,2.37,137140,Fruit & Veg,Lebanese,WOOL-1731B4BA2B,Gift card,Female,Brisbane
0.58,0.38,23/4/2025,WOOL-F676510,4,Metro,1.52,Tomatoes,0.58,134043,Fruit & Veg,Fresh,WOOL-822AE293DE,Credit card,Male,Sydney
2.52,2,14/4/2025,WOOL-5377932,4,Metro,8,Avocado,2.52,120082,Fruit & Veg,Hass,WOOL-716DBC40B6,Store card,Female,Brisbane
8.04,6.46,15/4/2025,WOOL-D322086,3,Metro,19.38,Strawberries,8.04,144613,Fruit & Veg,Strawberries,WOOL-A1268FF5FB,EFTPOS,Female,Hobart
0.42,0.14,12/4/2025,WOOL-6847581,4,Woolworths,0.56,Mandarin,0.42,829114,Fruit & Veg,Mandarin,WOOL-C890C4A92F,Credit card,Female,Adelaide
11.03,10.39,1/4/2025,WOOL-9518373,8,Woolworths,83.12,Insect Repellent,11.03,900332,Cleaning & Maintenance,Aerogard,WOOL-8B2CE7C295,Gift card,Female,Perth
1.32,0.84,3/4/2025,WOOL-B559381,1,Woolworths,0.84,Broccoli,1.32,134690,Fruit & Veg,Fresh,WOOL-4E3AE3CB83,EFTPOS,Male,Canberra
0.82,0.47,1/4/2025,WOOL-E226882,8,Metro,3.76,Apples,0.82,105927,Fruit & Veg,Fresh,WOOL-6B2D502072,EFTPOS,Female,Perth
0.78,0.42,19/4/2025,WOOL-7335612,1,Metro,0.42,Apples,0.78,105924,Fruit & Veg,Fresh,WOOL-4EAFB6EA6C,Store card,Female,Adelaide
0.45,0.1,8/4/2025,WOOL-2454508,2,Woolworths,0.2,Mandarin,0.45,829108,Fruit & Veg,Mandarin,WOOL-D37553F509,Store card,Female,Brisbane
0.61,0.27,15/4/2025,WOOL-0716886,2,Woolworths,0.54,Onion,0.61,144337,Fruit & Veg,Onion,WOOL-383A957337,Store card,Male,Brisbane
10.26,7.94,27/4/2025,WOOL-7717024,4,Woolworths,31.76,Insect Repellent,10.26,900326,Cleaning & Maintenance,Aerogard,WOOL-D3F9FE4145,Gift card,Female,Darwin
1.13,0.66,7/4/2025,WOOL-7107540,1,Woolworths,0.66,Cleaning Tablets,1.13,173879,Cleaning & Maintenance,Restor,WOOL-ECA7E5AE02,EFTPOS,Male,Hobart
0.76,0.41,12/4/2025,WOOL-2842225,7,Metro,2.87,Potatoes,0.76,208905,Fruit & Veg,Potato,WOOL-809728A12C,EFTPOS,Female,Canberra
0.83,0.37,23/4/2025,WOOL-1340062,6,Woolworths,2.22,Potatoes,0.83,208899,Fruit & Veg,Potato,WOOL-8DF53FB9C2,Credit card,Female,Adelaide
0.97,0.54,6/4/2025,WOOL-2132938,4,Woolworths,2.16,Apples,0.97,105928,Fruit & Veg,Fresh,WOOL-3DCEE87577,Cash,Female,Sydney
0.8,0.35,2/4/2025,WOOL-A174299,3,Metro,1.05,Apples,0.8,105923,Fruit & Veg,Fresh,WOOL-933D88CDE4,Cash,Female,Adelaide
0.72,0.72,8/4/2025,WOOL-7392004,8,Metro,5.76,Potatoes,0.72,208905,Fruit & Veg,Potato,WOOL-152C4FE088,EFTPOS,Female,Adelaide
1.37,0.93,4/4/2025,WOOL-F324643,6,Woolworths,5.58,Cleaning Tablets,1.37,173884,Cleaning & Maintenance,Restor,WOOL-75B758F05C,Credit card,Female,Brisbane
1.4,0.93,28/4/2025,WOOL-4858490,3,Woolworths,2.79,Broccoli,1.4,134691,Fruit & Veg,Fresh,WOOL-409E236467,Credit card,Female,Sydney
2.09,1.46,24/4/2025,WOOL-F354801,5,Metro,7.3,Cucumber,2.09,137139,Fruit & Veg,Lebanese,WOOL-8F1E4B0CEA,Store card,Female,Canberra
2,1.47,19/4/2025,WOOL-F946721,4,Metro,5.88,Avocado,2,120090,Fruit & Veg,Hass,WOOL-4AEABE276A,Credit card,Male,Hobart
0.78,0.36,26/4/2025,WOOL-D299659,4,Woolworths,1.44,Apples,0.78,105926,Fruit & Veg,Fresh,WOOL-E93946EFC6,Gift card,Female,Adelaide
0.44,0.1,24/4/2025,WOOL-3201639,2,Metro,0.2,Mandarin,0.44,829113,Fruit & Veg,Mandarin,WOOL-408AAB9BDB,Cash,Male,Darwin
18.58,17.83,5/4/2025,WOOL-D471507,3,Metro,53.49,Padlocks,18.58,747031,Cleaning & Maintenance,Master,WOOL-D5541C0AE7,Cash,Female,Adelaide
11.16,8.21,27/4/2025,WOOL-D531071,1,Woolworths,8.21,Insect Repellent,11.16,900331,Cleaning & Maintenance,Aerogard,WOOL-26F89A7957,Credit card,Female,Perth
0.44,0.22,16/4/2025,WOOL-E864491,2,Woolworths,0.44,Mandarin,0.44,829107,Fruit & Veg,Mandarin,WOOL-0F43D64A9F,Cash,Male,Melbourne
0.77,0.37,24/4/2025,WOOL-1806073,4,Metro,1.48,Potatoes,0.77,208900,Fruit & Veg,Potato,WOOL-E43E8400A3,Store card,Female,Melbourne
0.66,0.39,27/4/2025,WOOL-3163556,9,Woolworths,3.51,Onion,0.66,144332,Fruit & Veg,Onion,WOOL-5CD5C26B9C,Credit card,Male,Melbourne
2.12,1.59,9/4/2025,WOOL-C863587,9,Metro,14.31,Avocado,2.12,120081,Fruit & Veg,Hass,WOOL-DCF3FB7357,EFTPOS,Male,Hobart
0.57,0.35,3/4/2025,WOOL-A939482,4,Woolworths,1.4,Tomatoes,0.57,134034,Fruit & Veg,Fresh,WOOL-26721D085A,Store card,Female,Sydney
9.75,7.78,6/4/2025,WOOL-3360735,4,Metro,31.12,Strawberries,9.75,144610,Fruit & Veg,Strawberries,WOOL-D595245609,Cash,Male,Canberra
2.32,1.64,12/4/2025,WOOL-6299448,1,Metro,1.64,Cucumber,2.32,137139,Fruit & Veg,Lebanese,WOOL-CDE57869B3,Credit card,Male,Brisbane
0.87,0.47,25/4/2025,WOOL-E246991,4,Woolworths,1.88,Bananas,0.87,133219,Fruit & Veg,Cavendish,WOOL-3E1E3A5395,Credit card,Female,Adelaide
1.93,1.37,26/4/2025,WOOL-D292401,1,Woolworths,1.37,Cucumber,1.93,137140,Fruit & Veg,Lebanese,WOOL-B89AF7B7FB,EFTPOS,Male,Brisbane
1.19,0.8,1/4/2025,WOOL-8585100,2,Metro,1.6,Broccoli,1.19,134682,Fruit & Veg,Fresh,WOOL-C6046DC37F,Cash,Female,Darwin
2.09,1.57,15/4/2025,WOOL-7179046,4,Woolworths,6.28,Avocado,2.09,120084,Fruit & Veg,Hass,WOOL-CB1D74F381,Cash,Male,Canberra
0.55,0.14,12/4/2025,WOOL-E947272,2,Woolworths,0.28,Onion,0.55,144331,Fruit & Veg,Onion,WOOL-BDE3E72157,Credit card,Female,Brisbane
2.12,1.59,6/4/2025,WOOL-3153045,1,Woolworths,1.59,Avocado,2.12,120090,Fruit & Veg,Hass,WOOL-7405FD612C,Credit card,Female,Brisbane
0.54,0.17,3/4/2025,WOOL-0197793,6,Metro,1.02,Onion,0.54,144337,Fruit & Veg,Onion,WOOL-B4475311B8,Cash,Female,Adelaide
0.47,0.1,9/4/2025,WOOL-7274389,2,Metro,0.2,Mandarin,0.47,829117,Fruit & Veg,Mandarin,WOOL-76BA2A2B99,Store card,Male,Perth
0.76,0.41,28/4/2025,WOOL-D609231,1,Woolworths,0.41,Potatoes,0.76,208898,Fruit & Veg,Potato,WOOL-CED25C0B1D,Cash,Male,Hobart
2.38,1.82,9/4/2025,WOOL-F324130,1,Metro,1.82,Cucumber,2.38,137131,Fruit & Veg,Lebanese,WOOL-2B448E57C1,Gift card,Female,Perth
0.56,0.32,15/4/2025,WOOL-C161483,2,Metro,0.64,Onion,0.56,144336,Fruit & Veg,Onion,WOOL-DA1FA6058D,Credit card,Female,Perth
0.63,0.63,21/4/2025,WOOL-5497382,1,Woolworths,0.63,Tomatoes,0.63,134035,Fruit & Veg,Fresh,WOOL-9E6D476EDF,Gift card,Male,Canberra
0.64,0.28,10/4/2025,WOOL-0509386,5,Woolworths,1.4,Laundry Capsules,0.64,898836,Cleaning & Maintenance,Mnml,WOOL-C657664F05,Credit card,Female,Adelaide
2.18,1.59,29/4/2025,WOOL-8922157,2,Metro,3.18,Cucumber,2.18,137133,Fruit & Veg,Lebanese,WOOL-0AED265527,Gift card,Male,Adelaide
1.95,1.42,29/4/2025,WOOL-E399105,6,Woolworths,8.52,Avocado,1.95,120086,Fruit & Veg,Hass,WOOL-098728725B,Store card,Female,Brisbane
8.76,6.81,7/4/2025,WOOL-D830429,1,Metro,6.81,Light Globes,8.76,197767,Cleaning & Maintenance,Mirabella,WOOL-201B50E2D7,Cash,Male,Adelaide
0.66,0.66,14/4/2025,WOOL-F262316,3,Metro,1.98,Laundry Capsules,0.66,898840,Cleaning & Maintenance,Mnml,WOOL-AA6A0674D6,Cash,Male,Canberra
0.54,0.1,8/4/2025,WOOL-6411120,4,Woolworths,0.4,Onion,0.54,144330,Fruit & Veg,Onion,WOOL-93C133839E,Credit card,Male,Melbourne
0.42,0.1,7/4/2025,WOOL-6161324,4,Metro,0.4,Mandarin,0.42,829114,Fruit & Veg,Mandarin,WOOL-301EC8A648,Credit card,Male,Darwin
0.7,0.7,1/4/2025,WOOL-1884309,4,Metro,2.8,Bananas,0.7,133217,Fruit & Veg,Cavendish,WOOL-575B591139,EFTPOS,Female,Perth
0.47,0.31,18/4/2025,WOOL-A159942,8,Metro,2.48,Mandarin,0.47,829112,Fruit & Veg,Mandarin,WOOL-E5B85EFE38,Gift card,Female,Perth
10.17,8.95,14/4/2025,WOOL-1712554,2,Metro,17.9,Strawberries,10.17,144616,Fruit & Veg,Strawberries,WOOL-B135669F3F,Gift card,Female,Darwin
0.58,0.27,2/4/2025,WOOL-F627276,3,Metro,0.81,Tomatoes,0.58,134034,Fruit & Veg,Fresh,WOOL-C8C5E8A1AE,Cash,Female,Darwin
0.8,0.35,7/4/2025,WOOL-5159642,7,Metro,2.45,Apples,0.8,105922,Fruit & Veg,Fresh,WOOL-5AEB9BFCE6,Store card,Male,Melbourne
0.44,0.22,27/4/2025,WOOL-2992697,1,Metro,0.22,Mandarin,0.44,829108,Fruit & Veg,Mandarin,WOOL-469A6F96EE,Credit card,Female,Sydney
2.16,1.61,6/4/2025,WOOL-5171849,1,Woolworths,1.61,Cucumber,2.16,137138,Fruit & Veg,Lebanese,WOOL-46DD7937B9,Credit card,Female,Canberra
16.76,13.54,4/4/2025,WOOL-2808011,2,Metro,27.08,Padlocks,16.76,747032,Cleaning & Maintenance,Master,WOOL-F1E2FD71CA,Credit card,Male,Darwin
1.12,0.69,14/4/2025,WOOL-7523389,4,Woolworths,2.76,Broccoli,1.12,134690,Fruit & Veg,Fresh,WOOL-F5BA208A2E,Store card,Male,Darwin
12.01,11.11,30/4/2025,WOOL-3697347,2,Woolworths,22.22,Insect Repellent,12.01,900327,Cleaning & Maintenance,Aerogard,WOOL-1D51045C24,Cash,Female,Sydney
