Unit price,Best price,Date,Transaction ID,Quantity,Store name,Total,Sub-category,Discount,Item ID,Category,Brand,Customer ID,Payment type,Location,Gender
13.53,13.48,17/3/2025,COL-601-117-20250317-5005,3,Coles,40.44,Ice Cream,0.05,ITEM2421,Produce,Aussie Greens,CUST9570,EFTPOS,Darwin,Female
18.29,14.09,27/3/2025,COL-601-117-20250327-5083,2,Coles,28.18,Bread,4.2,ITEM1627,Dairy,Paul's,CUST4723,EFTPOS,Sydney,Female
19.09,14.68,27/3/2025,COL-601-117-20250327-5015,1,Coles,14.68,Milk,4.41,ITEM3900,Meat,MeatMaster,CUST7179,EFTPOS,Darwin,Male
2.76,2.72,17/3/2025,COL-601-117-20250317-5036,1,Coles,2.72,Bread,0.04,ITEM3176,Snacks,Pringles,CUST4805,EFTPOS,Sydney,Female
16.42,14.48,30/3/2025,COL-601-117-20250330-5013,2,Coles,28.96,Sauces,1.94,ITEM7855,Produce,Aussie Greens,CUST7337,Credit Card,Adelaide,Female
8.82,6.88,14/3/2025,COL-601-117-20250314-5002,1,Coles,6.88,Sauces,1.94,ITEM5175,Produce,Aussie Greens,CUST9243,Credit Card,Perth,Female
16.81,16.59,18/3/2025,COL-601-117-20250318-5031,5,Coles,82.95,Veggies,0.22,ITEM9181,Frozen,Birds Eye,CUST6849,Credit Card,Hobart,Male
3.51,3.4,10/3/2025,COL-601-117-20250310-5068,3,Coles,10.2,Ice Cream,0.11,ITEM2875,Pantry,Uncle Tobys,CUST3742,Credit Card,Canberra,Male
17.57,14.81,30/3/%202577,COL-601-117-20250330-5098,5,Coles,74.05,Chips,2.76,ITEM3460,Produce,Fresh Farms,CUST5308,EFTPOS,Hobart,Female
19.39,19.1,5/3/2025,COL-601-117-20250305-5077,4,Coles,76.4,Chips,0.29,ITEM9385,Bakery,Tip Top,CUST1568,Cash,Melbourne,Female
2.82,2.35,21/3/2025,COL-601-117-20250321-5052,1,Coles,2.35,Sauces,0.47,ITEM5833,Frozen,McCain,CUST7267,Credit Card,Adelaide,Female
5.66,4.57,10/3/2025,COL-601-117-20250310-5009,4,Coles,18.28,Soft Drinks,1.09,ITEM9421,Meat,Woolworths Brand,CUST6808,Cash,Hobart,Male
19.86,16.86,29/3/2025,COL-601-117-20250329-5095,1,Coles,16.86,Milk,3.0,ITEM9276,Dairy,Bulla,CUST7840,EFTPOS,Brisbane,Male
16.81,16.59,18/3/2025,COL-601-117-20250318-5031,5,Coles,82.95,Veggies,0.22,ITEM9181,Frozen,Birds Eye,CUST6849,Credit Card,Hobart,Male
13.34,12.24,1/3/2025,COL-601-117-20250301-5070,3,Coles,36.72,Bread,1.1,ITEM4594,Frozen,Ingham,CUST5788,Credit Card,Hobart,Male
3.51,3.4,10/3/2025,COL-601-117-20250310-5068,3,Coles,10.2,Ice Cream,0.11,ITEM2875,Pantry,Uncle Tobys,CUST3742,Credit Card,Canberra,Male
6.48,5.81,9/3/2025,COL-601-117-20250309-5021,1,Coles,5.81,Veggies,0.67,ITEM8709,Produce,Fresh Farms,CUST6627,Credit Card,Melbourne,Female
10.66,8.09,31/3/2025,COL-601-117-20250331-5086,2,Coles,16.18,Ice Cream,2.57,ITEM4708,Bakery,Helga's,CUST1067,Cash,Sydney,Female
10.66,8.09,31/3/2025,COL-601-117-20250331-5086,2,Coles,16.18,Ice Cream,2.57,ITEM4708,Bakery,Helga's,CUST1067,Cash,Sydney,Female
14.43,10.38,21/3/2025,COL-601-117-20250321-5012,1,Coles,10.38,Milk,4.05,ITEM4386,Pantry,Heinz,CUST4364,Cash,Adelaide,Male
18.23,17.43,11/3/2025,COL-601-117-20250311-5033,4,Coles,69.72,Soft Drinks,0.8,ITEM3231,Bakery,Helga's,CUST4174,Credit Card,Brisbane,Male
16.42,14.48,30/3/2025,COL-601-117-20250330-5013,2,Coles,28.96,Sauces,1.94,ITEM7855,Produce,Aussie Greens,CUST7337,Credit Card,Adelaide,Female
3.18,2.31,19/3/2025,COL-601-117-20250319-5004,2,Coles,4.62,Chips,0.87,ITEM6069,Produce,Fresh Farms,CUST3662,Credit Card,Hobart,Female
18.95,15.26,19/3/2025,COL-601-117-20250319-5011,2,Coles,30.52,Ice Cream,3.69,ITEM3535,Meat,Woolworths Brand,CUST9321,Cash,Hobart,Male
13.68,10.09,27/3/2025,COL-601-117-20250327-5078,3,Coles,30.27,Ice Cream,3.59,ITEM7000,Dairy,Paul's,CUST5918,EFTPOS,Canberra,Female
4.77,3.52,31/3/2025,COL-601-117-20250331-5028,3,Coles,10.56,Chips,1.25,ITEM7391,Produce,Fresh Farms,CUST3700,Cash,Hobart,Female
16.26,12.53,21/3/2025,COL-601-117-20250321-5040,2,Coles,25.06,Veggies,3.73,ITEM4154,Dairy,Bulla,CUST2288,EFTPOS,Sydney,Female
16.81,16.59,18/3/2025,COL-601-117-20250318-5031,5,Coles,82.95,Veggies,0.22,ITEM9181,Frozen,Birds Eye,CUST6849,Credit Card,Hobart,Male
4.73,3.84,21/3/2025,COL-601-117-20250321-5043,5,Coles,19.2,Chips,0.89,ITEM8843,Beverages,Coca-Cola,CUST6797,Credit Card,Adelaide,Male
18.21,15.68,30/3/2025,COL-601-117-20250330-5007,4,Coles,62.72,Chips,2.53,ITEM2857,Produce,Aussie Greens,CUST1033,EFTPOS,Sydney,Female
3.74,3.53,12/3/2025,COL-601-117-20250312-5059,3,Coles,10.59,Sauces,0.21,ITEM3097,Beverages,Pepsi,CUST7974,Cash,Perth,Female
8.58,7.15,8/3/2025,COL-601-117-20250308-5091,4,Coles,28.6,Bread,1.43,ITEM4699,Snacks,Pringles,CUST2583,Cash,Brisbane,Male
18.99,14.45,7/3/2025,COL-601-117-20250307-5053,4,Coles,57.8,Veggies,4.54,ITEM5469,Pantry,Leggo's,CUST8568,EFTPOS,Brisbane,Female
7.06,5.41,21/3/2025,COL-601-117-20250321-5029,4,Coles,21.64,Bread,1.65,ITEM7658,Snacks,Doritos,CUST1375,Credit Card,Hobart,Female
19.56,18.39,2/3/2025, COL-601-117-20250302-5082,5,Coles,91.95,Chicken,1.17,ITEM8684,Bakery,Helga's,CUST7320,EFTPOS,Sydney,Male
7.13,5.73,11/3/2025,COL-601-117-20250311-5048,1,Coles,5.73,Sauces,1.4,ITEM6183,Pantry,Heinz,CUST3518,Credit Card,Sydney,Male
4.77,3.52,31/3/2025,COL-601-117-20250331-5028,3,Coles,10.56,Chips,1.25,ITEM7391,Produce,Fresh Farms,CUST3700,Cash,Hobart,Female
18.29,14.09,27/3/2025,COL-601-117-20250327-5083,2,Coles,28.18,Bread,4.2,ITEM1627,Dairy,Paul's,CUST4723,EFTPOS,Sydney,Female
14.41,13.06,6/3/2025,COL-601-117-20250306-5032,4,Coles,52.24,Milk,1.35,ITEM8890,Meat,Coles Brand,CUST7851,EFTPOS,Perth,Female
13.18,12.47,25/3/2025,COL-601-117-20250325-5090,4,Coles,49.88,Chips,0.71,ITEM5646,Bakery,Tip Top,CUST5391,Credit Card,Brisbane,Female
6.98,6.73,16/3/2025,COL-601-117-20250316-5010,4,Coles,26.92,Chips,0.25,ITEM6058,Bakery,Tip Top,CUST9815,Credit Card,Hobart,Male
10.93,8.15,2/3/2025,COL-601-117-20250302-5062,1,Coles,8.15,Veggies,2.78,ITEM1719,Frozen,Birds Eye,CUST5367,Cash,Canberra,Male
16.26,12.53,21/3/2025,COL-601-117-20250321-5040,2,Coles,25.06,Veggies,3.73,ITEM4154,Dairy,Bulla,CUST2288,EFTPOS,Sydney,Female
6.37,5.34,4/3/2025,COL-601-117-20250304-5097,3,Coles,16.02,Chicken,1.03,ITEM8610,Bakery,Wonder White,CUST7707,Cash,Canberra,Male
12.17,9.55,21/3/2025,COL-601-117-20250321-5030,5,Coles,47.75,Chicken,2.62,ITEM6748,Beverages,Pepsi,CUST5961,Gift Card,Perth,Female
4.62,3.88,17/3/2025,COL-601-117-20250317-5039,4,Coles,15.52,Milk,0.74,ITEM4693,Bakery,Tip Top,CUST7992,Cash,Hobart,Female
12.86,11.24,21/3/2025,COL-601-117-20250321-5042,5,Coles,56.2,Veggies,1.62,ITEM2385,Meat,Woolworths Brand,CUST9019,Cash,Hobart,Male
8.17,6.8,10/3/2025,COL-601-117-20250310-5094,2,Coles,13.6,Chips,1.37,ITEM8688,Produce,Aussie Greens,CUST9995,Credit Card,Hobart,Female
10.46,9.79,26/3/2025,COL-601-117-20250326-5035,4,Coles,39.16,Veggies,0.67,ITEM1660,Snacks,Doritos,CUST2172,Cash,Perth,Male
18.99,14.45,7/3/2025,COL-601-117-20250307-5053,4,Coles,57.8,Veggies,4.54,ITEM5469,Pantry,Leggo's,CUST8568,EFTPOS,Brisbane,Female
18.43,15.57,12/3/2025,COL-601-117-20250312-5038,5,Coles,77.85,Ice Cream,2.86,ITEM9306,Bakery,Tip Top,CUST2126,Credit Card,Hobart,Male
6.37,5.34,4/3/2025,COL-601-117-20250304-5097,3,Coles,16.02,Chicken,1.03,ITEM8610,Bakery,Wonder White,CUST7707,Cash,Canberra,Male
4.3,3.03,7/3/2025,COL-601-117-20250307-5044,4,Coles,12.12,Bread,1.27,ITEM9625,Pantry,Uncle Tobys,CUST9252,EFTPOS,Melbourne,Male
2.09,1.91,10/3/2025,COL-601-117-20250310-5081,3,Coles,5.73,Veggies,0.18,ITEM7271,Meat,MeatMaster,CUST4423,Credit Card,Melbourne,Male
4.93,3.62,3/3/2025,COL-601-117-20250303-5023,5,Coles,18.1,Soft Drinks,1.31,ITEM3455,Beverages,Schweppes,CUST2898,Credit Card,Brisbane,Female
6.18,5.94,21/3/2025,COL-601-117-20250321-5064,3,Coles,17.82,Ice Cream,0.24,ITEM5118,Produce,Fresh Farms,CUST1496,Cash,Canberra,Female
17.57,14.81,30/3/2025,COL-601-117-20250330-5098,5,Coles,74.05,Chips,2.76,ITEM3460,Produce,Fresh Farms,CUST5308,EFTPOS,Hobart,Female
14.41,13.06,6/3/2025,COL-601-117-20250306-5032,4,Coles,52.24,Milk,1.35,ITEM8890,Meat,Coles Brand,CUST7851,EFTPOS,Perth,Female
19.9,13.95,25/3/2025,COL-601-117-20250325-5058,3,Coles,41.85,Chicken,5.95,ITEM9042,Meat,Woolworths Brand,CUST5939,Cash,Adelaide,Female
8.52,8.16,13/3/2025,COL-601-117-20250313-5047,4,Coles,32.64,Veggies,0.36,ITEM5711,Dairy,Devondale,CUST4569,Credit Card,Hobart,Female
6.48,5.81,9/3/2025,COL-601-117-20250309-5021,1,Coles,5.81,Veggies,0.67,ITEM8709,Produce,Fresh Farms,CUST6627,Credit Card,Melbourne,Female
8.58,7.15,8/3/2025,COL-601-117-20250308-5091,4,Coles,28.6,Bread,1.43,ITEM4699,Snacks,Pringles,CUST2583,Cash,Brisbane,Male
2.82,2.35,21/3/2025,COL-601-117-20250321-5052,1,Coles,2.35,Sauces,0.47,ITEM5833,Frozen,McCain,CUST7267,Credit Card,Adelaide,Female
17.81,17.19,1/3/2025,COL-601-117-20250301-5075,2,Coles,34.38,Chips,0.62,ITEM2000,Pantry,Heinz,CUST5136,Credit Card,Sydney,Female
19.17,16.35,22/3/2025,COL-601-117-20250322-5063,2,Coles,32.7,Chips,2.82,ITEM8012,Beverages,Schweppes,CUST4503,EFTPOS,Hobart,Male
18.56,14.01,11/3/2025,COL-601-117-20250311-5067,3,Coles,42.03,Soft Drinks,4.55,ITEM3263,Produce,Fresh Farms,CUST3087,Credit Card,Sydney,Female
18.23,17.43,11/3/2025,COL-601-117-20250311-5033,4,Coles,69.72,Soft Drinks,0.8,ITEM3231,Bakery,Helga's,CUST4174,Credit Card,Brisbane,Male
10.93,8.15,2/3/2025,COL-601-117-20250302-5062,1,Coles,8.15,Veggies,2.78,ITEM1719,Frozen,Birds Eye,CUST5367,Cash,Canberra,Male
16.81,16.59,18/3/2025, COL-601-117-20250318-5031,5,Coles,82.95,Veggies,0.22,ITEM9181,Frozen,Birds Eye,CUST6849,Credit Card,Hobart,Male
19.39,19.1,5/3/2025,COL-601-117-20250305-5077,4,Coles,76.4,Chips,0.29,ITEM9385,Bakery,Tip Top,CUST1568,Cash,Melbourne,Female
8.82,6.88,14/3/2025,COL-601-117-20250314-5002,1,Coles,6.88,Sauces,1.94,ITEM5175,Produce,Aussie Greens,CUST9243,Credit Card,Perth,Female
13.18,12.47,25/3/2025,COL-601-117-20250325-5090,4,Coles,49.88,Chicken,0.71,ITEM5646,Dairy,Paul's,CUST7367,Credit Card,Brisbane,Male
4.3,3.03,7/3/2025,COL-601-117-20250307-5044,4,Coles,12.12,Bread,1.27,ITEM9625,Pantry,Uncle Tobys,CUST9252,EFTPOS,Melbourne,Male
8.52,8.16,13/3/2025,COL-601-117-20250313-5047,4,Coles,32.64,Veggies,0.36,ITEM5711,Dairy,Devondale,CUST4569,Credit Card,Hobart,Female
8.52,8.16,13/3/2025,COL-601-117-20250313-5042,4,Coles,32.64,Veggies,0.36,ITEM5711,Dairy,Devondale,CUST4569,Credit Card,Hobart,Female
9.31,7.87,23/3/2025,COL-601-117-20250323-5046,5,Coles,39.35,Veggies,1.44,ITEM2783,Frozen,Birds Eye,CUST2182,Credit Card,Perth,Female
7.05,5.99,3/3/2025,COL-601-117-20250303-5041,3,Coles,17.97,Sauces,1.06,ITEM4685,Pantry,Heinz,CUST5587,Credit Card,Brisbane,Male
17.81,17.19,1/3/2025,COL-601-117-20250301-5075,2,Coles,34.38,Chips,0.62,ITEM2000,Pantry,Heinz,CUST5136,Credit Card,Sydney,Female
16.74,13.46,31/3/2025,COL-601-117-20250331-5065,4,Coles,53.84,Sauces,3.28,ITEM4756,Frozen,Ingham,CUST1337,Credit Card,Brisbane,Male
13.53,13.48,17/3/2025, COL-601-117-20250317-5005,3,Coles,40.44,Ice Cream,0.05,ITEM2421,Produce,Aussie Greens,CUST9570,EFTPOS,Darwin,Female
19.86,16.86,29/3/2025,COL-601-117-20250329-5095,1,Coles,16.86,Milk,3.0,ITEM9276,Dairy,Bulla,CUST7840,EFTPOS,Brisbane,Male
13.34,12.24,1/3/2025,COL-601-117-20250301-5070,3,Coles,36.72,Soft Drinks,1.1,ITEM6404,Bakery,Tip Top,CUST2112,Credit Card,Sydney,Female
14.43,10.38,21/3/2025,COL-601-117-20250321-5012,1,Coles,10.38,Milk,4.05,ITEM4386,Pantry,Heinz,CUST4364,Cash,Adelaide,Male
9.31,7.87,23/3/2025,COL-601-117-20250323-5046,5,Coles,39.35,Veggies,1.44,ITEM2783,Frozen,Birds Eye,CUST2182,Credit Card,Perth,Female
19.86,16.86,29/3/2025,COL-601-117-20250329-5095,1,Coles,16.86,Milk,3.0,ITEM9276,Dairy,Bulla,CUST7840,EFTPOS,Brisbane,Male
16.89,12.43,19/3/2025,COL-601-117-20250319-5069,1,Coles,12.43,Veggies,4.46,ITEM8424,Pantry,Heinz,CUST7731,Credit Card,Brisbane,Female
13.68,10.09,27/3/2025,COL-601-117-20250327-5078,3,Coles,30.27,Ice Cream,3.59,ITEM7000,Dairy,Paul's,CUST5918,EFTPOS,Canberra,Female
10.46,9.79,26/3/2025,COL-601-117-20250326-5035,4,Coles,39.16,Veggies,0.67,ITEM1660,Snacks,Doritos,CUST2172,Cash,Perth,Male
18.21,15.68,30/3/2025,COL-601-117-20250330-5007,4,Coles,62.72,Chips,2.53,ITEM2857,Produce,Aussie Greens,CUST1033,EFTPOS,Sydney,Female
16.81,16.59,18/3/2025,COL-601-117-20250318-5031,5,Coles,82.95,Veggies,0.22,ITEM9181,Frozen,Birds Eye,CUST6849,Credit Card,Hobart,Male
4.3,3.03,7/3/2025,COL-601-117-20250307-5044,4,Coles,12.12,Bread,1.27,ITEM9625,Pantry,Uncle Tobys,CUST9252,EFTPOS,Melbourne,Male
16.39,12.74,15/3/2025,COL-601-117-20250315-5003,4,Coles,50.96,Chicken,3.65,ITEM9409,Bakery,Tip Top,CUST3378,EFTPOS,Darwin,Male
12.31,11.88,29/3/2025,COL-601-117-20250329-5074,4,Coles,47.52,Sauces,0.43,ITEM1751,Pantry,Uncle Tobys,CUST4492,EFTPOS,Brisbane,Male
16.74,13.46,31/3/2025,COL-601-117-20250331-5065,4,Coles,53.84,Sauces,3.28,ITEM4756,Frozen,Ingham,CUST1337,Credit Card,Brisbane,Male
8.88,6.29,10/3/2025,COL-601-117-20250310-5014,4,Coles,25.16,Ice Cream,2.59,ITEM9663,Beverages,Pepsi,CUST9046,Credit Card,Canberra,Male
