unit price,best price ,date,transaction ID,quantity,store name,total,item name,discount,product code,category,customer ID,payment types,gender,location
25.67,20.85,7/4/2025,COL-8771088,1,Coles,20.85,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,4.82,2686693,Meat & Seafood,COL-3DB5FEA03E,Credit card,Male,Melbourne
32.02,32.02,20/4/2025,COL-7817870,7,Coles,224.14,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,0,9223335,Meat & Seafood,COL-1C36851001,Cash,Male,Adelaide
28.24,26.5,8/4/2025,COL-A983794,2,Coles,53,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,1.74,3954677,Meat & Seafood,COL-2148724668,Credit card,Female,Adelaide
22.81,20.85,15/4/2025,COL-1340174,1,Coles,20.85,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,1.96,8836817,Meat & Seafood,COL-8AA2199DD3,Store card,Male,Hobart
0.3,0.1,16/4/2025,COL-1944151,3,Coles,0.3,Green's Gravy Granules for Roast Meat | 120g,0.44,7302778,Meat & Seafood,COL-2034733416,Gift card,Female,Adelaide
7.34,5.46,5/4/2025,COL-A520651,8,Coles,43.68,The Bare Bird Whole Chicken | approx 1.6kg,1.88,3091126,Meat & Seafood,COL-100D004335,Credit card,Male,Hobart
11.07,9.26,29/4/2025,COL-8169403,1,Coles,9.26,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,1.81,2741881,Meat & Seafood,COL-F7407F2AA9,Store card,Male,Canberra
19.02,18.29,23/4/2025,COL-6694731,5,Coles,91.45,The Bare Bird Chicken Breast Fillet | 600g,0.73,7362274,Meat & Seafood,COL-5CF7A7C18C,Credit card,Male,Perth
19.78,14.79,28/4/2025,COL-A322955,4,Coles,59.16,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,4.99,5969867,Meat & Seafood,COL-E8978D76BE,Cash,Female,Perth
25.18,21.45,27/4/2025,COL-F514850,3,Coles,64.35,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,3.73,3954676,Meat & Seafood,COL-D37A238899,Credit card,Male,Canberra
33.31,25.25,18/4/2025,COL-E249811,5,Coles,126.25,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,8.06,2686697,Meat & Seafood,COL-AC08341458,EFTPOS,Female,Adelaide
28.64,23.8,28/4/2025,COL-8246413,9,Coles,214.2,The Bare Bird Chicken Thigh Fillets | 480g,4.84,7382548,Meat & Seafood,COL-EC1B7B48E0,EFTPOS,Male,Melbourne
28.91,25.2,3/4/2025,COL-7881177,2,Coles,50.4,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,3.71,9224264,Meat & Seafood,COL-F964A3A1EC,Gift card,Female,Adelaide
9.08,7.38,5/4/2025,COL-8883300,1,Coles,7.38,Coles Lamb Leg Roast Half | approx 1.74kg,1.7,9246071,Meat & Seafood,COL-89E1FA3625,Credit card,Female,Canberra
33.28,30.71,2/4/2025,COL-D711878,8,Coles,245.68,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,2.57,9223332,Meat & Seafood,COL-44332194F3,EFTPOS,Male,Perth
8.32,7.4,9/4/2025,COL-C479580,4,Coles,29.6,Coles Lamb Leg Roast Half | approx 1.74kg,0.92,9246072,Meat & Seafood,COL-567207AC38,Credit card,Female,Melbourne
22.19,17.41,11/4/2025,COL-7245051,3,Coles,52.23,The Bare Bird Chicken Breast Fillet | 600g,4.78,7362275,Meat & Seafood,COL-40E5ABCA4E,Credit card,Female,Brisbane
10.02,7.82,7/4/2025,COL-F195325,4,Coles,31.28,The Bare Bird Chicken Drumsticks | 460g,2.2,7382498,Meat & Seafood,COL-D7F8967FD8,Gift card,Female,Sydney
9.35,8.11,25/4/2025,COL-1214975,5,Coles,40.55,Coles Lamb Leg Roast Half | approx 1.74kg,1.24,9246066,Meat & Seafood,COL-CE2BBFCC00,Credit card,Male,Brisbane
7.81,5.68,10/4/2025,COL-4757924,5,Coles,28.4,The Bare Bird Whole Chicken | approx 1.6kg,2.13,3091131,Meat & Seafood,COL-CA04C97FFC,Store card,Female,Hobart
19.4,15.16,7/4/2025,COL-5930555,8,Coles,121.28,Coles Pork Belly Roast Boneless | approx 1.3kg,4.24,2839580,Meat & Seafood,COL-417A80F1EF,Gift card,Female,Hobart
18.04,16.53,16/4/2025,COL-D725380,3,Coles,49.59,Coles Finest Mixed Selection Sausage Pack | 500g,1.51,5928535,Meat & Seafood,COL-F8616F26C4,Cash,Male,Hobart
8.6,7.2,4/4/2025,COL-2503457,2,Coles,14.4,Coles Lamb Leg Roast Half | approx 1.74kg,1.4,9246065,Meat & Seafood,COL-F7B961CF87,Store card,Male,Brisbane
9.2,6.8,24/4/2025,COL-C724834,4,Coles,27.2,Coles Boneless Pork Shoulder Roast | approx 2.6kg,2.4,9413884,Meat & Seafood,COL-035CBA3C72,Credit card,Male,Brisbane
18.96,17.22,2/4/2025,COL-E654816,3,Coles,51.66,The Bare Bird Chicken Breast Fillet | 600g,1.74,7362278,Meat & Seafood,COL-DAC997E9C0,EFTPOS,Male,Sydney
24.57,17.52,30/4/2025,COL-8680099,4,Coles,70.08,The Bare Bird Chicken Thigh Fillets | 480g,7.05,7382539,Meat & Seafood,COL-3C4F8179E8,Cash,Male,Melbourne
20.77,16.17,23/4/2025,COL-0813328,3,Coles,48.51,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,4.6,8836820,Meat & Seafood,COL-926940D1EA,Gift card,Male,Darwin
11.47,10.4,5/4/2025,COL-3814825,1,Coles,10.4,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,1.07,2741873,Meat & Seafood,COL-08C4214565,EFTPOS,Male,Melbourne
30.6,25.17,1/4/2025,COL-8905934,3,Coles,75.51,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,5.43,9224261,Meat & Seafood,COL-8179E704E7,Cash,Male,Adelaide
13.82,11.26,25/4/2025,COL-A216970,4,Coles,45.04,Coles Finest Mixed Selection Sausage Pack | 500g,2.56,5928536,Meat & Seafood,COL-3D56A4FCC5,Gift card,Male,Adelaide
0.32,0.1,21/4/2025,COL-9555884,5,Coles,0.5,Green's Gravy Granules for Roast Meat | 120g,0.44,7302778,Meat & Seafood,COL-65EA315119,Cash,Female,Adelaide
27.84,25.98,22/4/2025,COL-5575763,3,Coles,77.94,The Bare Bird Chicken Thigh Fillets | 480g,1.86,7382539,Meat & Seafood,COL-E026736900,Store card,Female,Darwin
19.14,19.14,23/4/2025,COL-0857168,1,Coles,19.14,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,0,5969874,Meat & Seafood,COL-D2F42DC7F3,Gift card,Male,Darwin
7.25,7.25,2/4/2025,COL-8624902,3,Coles,21.75,Coles Boneless Pork Leg Roast | approx 2.1kg,0,4174797,Meat & Seafood,COL-CD8A5616F5,Gift card,Male,Perth
35.57,30.75,10/4/2025,COL-5632342,5,Coles,153.75,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,4.82,9672962,Meat & Seafood,COL-C9942C14D5,Credit card,Male,Melbourne
30.11,23.12,3/4/2025,COL-3755674,3,Coles,69.36,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,6.99,2686703,Meat & Seafood,COL-7CE828B901,Cash,Female,Hobart
8.62,6.93,26/4/2025,COL-9982554,4,Coles,27.72,The Bare Bird Whole Chicken | approx 1.6kg,1.69,3091132,Meat & Seafood,COL-D9D40C2553,Credit card,Female,Darwin
32.51,27.46,19/4/2025,COL-6260263,3,Coles,82.38,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,5.05,9672967,Meat & Seafood,COL-503AE5A800,EFTPOS,Male,Sydney
17.47,14.67,9/4/2025,COL-B899550,2,Coles,29.34,Coles Finest Mixed Selection Sausage Pack | 500g,2.8,5928532,Meat & Seafood,COL-C5DB89EA73,Gift card,Female,Canberra
33.61,25.36,2/4/2025,COL-5665579,5,Coles,126.8,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,8.25,2686703,Meat & Seafood,COL-4C422B774C,Store card,Male,Adelaide
21.16,15.4,8/4/2025,COL-0728038,1,Coles,15.4,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,5.76,8836823,Meat & Seafood,COL-46C3440668,Gift card,Male,Hobart
0.32,0.15,9/4/2025,COL-A612340,3,Coles,0.45,Green's Gravy Granules for Roast Meat | 120g,0.17,7302781,Meat & Seafood,COL-8246FA5537,EFTPOS,Male,Canberra
7.84,7.2,22/4/2025,COL-0217301,2,Coles,14.4,The Bare Bird Whole Chicken | approx 1.6kg,0.64,3091131,Meat & Seafood,COL-3EF5A4C011,EFTPOS,Male,Sydney
27.44,24.61,19/4/2025,COL-B972064,1,Coles,24.61,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,2.83,3954684,Meat & Seafood,COL-E47D4FB90C,Credit card,Female,Perth
18.21,17.33,27/4/2025,COL-9351083,3,Coles,51.99,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,0.88,5969875,Meat & Seafood,COL-0D9F3DB772,EFTPOS,Female,Canberra
30.78,25.78,13/4/2025,COL-1352572,3,Coles,77.34,The Bare Bird Chicken Thigh Fillets | 480g,5,7382548,Meat & Seafood,COL-F5FCB41602,Store card,Female,Adelaide
25.59,21.67,3/4/2025,COL-2189814,5,Coles,108.35,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,3.92,2686695,Meat & Seafood,COL-0DBFC4A9E4,Credit card,Female,Canberra
11.82,8.68,21/4/2025,COL-F955662,5,Coles,43.4,The Bare Bird Chicken Drumsticks | 460g,3.14,7382498,Meat & Seafood,COL-4285A31D94,EFTPOS,Female,Hobart
9.88,9.07,23/4/2025,COL-2897549,5,Coles,45.35,Coles Boneless Pork Shoulder Roast | approx 2.6kg,0.81,9413888,Meat & Seafood,COL-64E4BEB578,Credit card,Female,Brisbane
19.63,13.84,16/4/2025,COL-4234628,3,Coles,41.52,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,5.79,5969873,Meat & Seafood,COL-1731B4BA2B,Gift card,Female,Hobart
7.39,6.76,23/4/2025,COL-F676510,4,Coles,27.04,The Bare Bird Whole Chicken | approx 1.6kg,0.63,3091133,Meat & Seafood,COL-822AE293DE,Credit card,Male,Brisbane
26.51,22.03,14/4/2025,COL-5377932,4,Coles,88.12,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,4.48,3954681,Meat & Seafood,COL-716DBC40B6,Store card,Female,Brisbane
32.85,29.38,15/4/2025,COL-D322086,3,Coles,88.14,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,3.47,9672965,Meat & Seafood,COL-A1268FF5FB,EFTPOS,Female,Canberra
23.43,19.14,12/4/2025,COL-6847581,4,Coles,76.56,The Bare Bird Chicken Thigh Fillets | 480g,4.29,7382540,Meat & Seafood,COL-C890C4A92F,Credit card,Female,Melbourne
14.33,12.53,1/4/2025,COL-9518373,8,Coles,100.24,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,1.8,6409080,Meat & Seafood,COL-8B2CE7C295,Gift card,Female,Melbourne
16.4,16.4,3/4/2025,COL-B559381,1,Coles,16.4,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,0,6409073,Meat & Seafood,COL-4E3AE3CB83,EFTPOS,Male,Perth
17.34,14.29,1/4/2025,COL-E226882,8,Coles,114.32,Coles Pork Belly Roast Boneless | approx 1.3kg,3.05,2839579,Meat & Seafood,COL-6B2D502072,EFTPOS,Female,Perth
34.06,32.92,19/4/2025,COL-7335612,1,Coles,32.92,Coles Deli Thawed Australian Cooked Black Tiger Prawns Large | approx 250g,1.14,9672969,Meat & Seafood,COL-4EAFB6EA6C,Store card,Female,Darwin
26.93,22.57,8/4/2025,COL-2454508,2,Coles,45.14,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,4.36,3954678,Meat & Seafood,COL-D37553F509,Store card,Female,Brisbane
19.05,14.87,15/4/2025,COL-0716886,2,Coles,29.74,The Bare Bird Chicken Breast Fillet | 600g,4.18,7362279,Meat & Seafood,COL-383A957337,Store card,Male,Sydney
8.02,7.17,27/4/2025,COL-7717024,4,Coles,28.68,The Bare Bird Whole Chicken | approx 1.6kg,0.85,3091130,Meat & Seafood,COL-D3F9FE4145,Gift card,Female,Darwin
24.3,24.3,7/4/2025,COL-7107540,1,Coles,24.3,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,0,3954684,Meat & Seafood,COL-ECA7E5AE02,EFTPOS,Male,Darwin
17.74,14.44,12/4/2025,COL-2842225,7,Coles,101.08,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,3.3,5969873,Meat & Seafood,COL-809728A12C,EFTPOS,Female,Canberra
14.42,10.34,23/4/2025,COL-1340062,6,Coles,62.04,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,4.08,6409081,Meat & Seafood,COL-8DF53FB9C2,Credit card,Female,Darwin
28.46,25.8,6/4/2025,COL-2132938,4,Coles,103.2,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,2.66,2686703,Meat & Seafood,COL-3DCEE87577,Cash,Female,Hobart
7.7,6.98,2/4/2025,COL-A174299,3,Coles,20.94,The Bare Bird Whole Chicken | approx 1.6kg,0.72,3091133,Meat & Seafood,COL-933D88CDE4,Cash,Female,Brisbane
0.37,0.13,8/4/2025,COL-7392004,8,Coles,1.04,Green's Gravy Granules for Roast Meat | 120g,0.24,7302783,Meat & Seafood,COL-152C4FE088,EFTPOS,Female,Hobart
10.86,9.25,4/4/2025,COL-F324643,6,Coles,55.5,Coles Boneless Pork Shoulder Roast | approx 2.6kg,1.61,9413887,Meat & Seafood,COL-75B758F05C,Credit card,Female,Melbourne
9.74,6.85,28/4/2025,COL-4858490,3,Coles,20.55,Coles Boneless Pork Shoulder Roast | approx 2.6kg,2.89,9413881,Meat & Seafood,COL-409E236467,Credit card,Female,Sydney
23.67,21.01,24/4/2025,COL-F354801,5,Coles,105.05,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,2.66,3954679,Meat & Seafood,COL-8F1E4B0CEA,Store card,Female,Adelaide
8.18,7.13,19/4/2025,COL-F946721,4,Coles,28.52,Coles Lamb Leg Roast Half | approx 1.74kg,1.05,9246068,Meat & Seafood,COL-4AEABE276A,Credit card,Male,Sydney
31.47,28.21,26/4/2025,COL-D299659,4,Coles,112.84,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,3.26,2686694,Meat & Seafood,COL-E93946EFC6,Gift card,Female,Hobart
33.38,32.42,24/4/2025,COL-3201639,2,Coles,64.84,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,0.96,9223332,Meat & Seafood,COL-408AAB9BDB,Cash,Male,Sydney
10.4,7.64,5/4/2025,COL-D471507,3,Coles,22.92,The Bare Bird Chicken Drumsticks | 460g,2.76,7382495,Meat & Seafood,COL-D5541C0AE7,Cash,Female,Darwin
16.58,12.63,27/4/2025,COL-D531071,1,Coles,12.63,Coles Finest Mixed Selection Sausage Pack | 500g,3.95,5928538,Meat & Seafood,COL-26F89A7957,Credit card,Female,Canberra
26.52,23.27,16/4/2025,COL-E864491,2,Coles,46.54,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,3.25,9224263,Meat & Seafood,COL-0F43D64A9F,Cash,Male,Brisbane
17.86,13.72,24/4/2025,COL-1806073,4,Coles,54.88,Coles Finest Mixed Selection Sausage Pack | 500g,4.14,5928539,Meat & Seafood,COL-E43E8400A3,Store card,Female,Melbourne
12.55,11.35,27/4/2025,COL-3163556,9,Coles,102.15,Coles Free Range Pork Leg Roast Boneless | approx 1.8kg,1.2,2741872,Meat & Seafood,COL-5CD5C26B9C,Credit card,Male,Hobart
26.46,19.55,9/4/2025,COL-C863587,9,Coles,175.95,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,6.91,2686697,Meat & Seafood,COL-DCF3FB7357,EFTPOS,Male,Brisbane
16.95,13.67,3/4/2025,COL-A939482,4,Coles,54.68,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,3.28,6409074,Meat & Seafood,COL-26721D085A,Store card,Female,Melbourne
21.66,15.67,6/4/2025,COL-3360735,4,Coles,62.68,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,5.99,8836823,Meat & Seafood,COL-D595245609,Cash,Male,Melbourne
17.26,14.79,12/4/2025,COL-6299448,1,Coles,14.79,Coles Finest Carbon Neutral Pork Leg Roast | approx 1kg,2.47,6409080,Meat & Seafood,COL-CDE57869B3,Credit card,Male,Darwin
0.29,0.1,25/4/2025,COL-E246991,4,Coles,0.4,Green's Gravy Granules for Roast Meat | 120g,0.21,7302787,Meat & Seafood,COL-3E1E3A5395,Credit card,Female,Canberra
24.03,18.28,26/4/2025,COL-D292401,1,Coles,18.28,Coles Deli Thawed Raw Black Tiger Prawns | approx 250g,5.75,3954677,Meat & Seafood,COL-B89AF7B7FB,EFTPOS,Male,Perth
16.65,15.45,1/4/2025,COL-8585100,2,Coles,30.9,Coles RSPCA Approved Chicken Breast Schnitzel Plain Crumb | 600g,1.2,5969866,Meat & Seafood,COL-C6046DC37F,Cash,Female,Canberra
8.34,7.31,15/4/2025,COL-7179046,4,Coles,29.24,Coles Lamb Leg Roast Half | approx 1.74kg,1.03,9246072,Meat & Seafood,COL-CB1D74F381,Cash,Male,Canberra
28.91,28.91,12/4/2025,COL-E947272,2,Coles,57.82,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,0,9223333,Meat & Seafood,COL-BDE3E72157,Credit card,Female,Brisbane
0.3,0.3,6/4/2025,COL-3153045,1,Coles,0.3,Green's Gravy Granules for Roast Meat | 120g,0,7302779,Meat & Seafood,COL-7405FD612C,Credit card,Female,Brisbane
14.68,12.65,3/4/2025,COL-0197793,6,Coles,75.9,Coles Finest Mixed Selection Sausage Pack | 500g,2.03,5928532,Meat & Seafood,COL-B4475311B8,Cash,Female,Darwin
22.21,21.28,9/4/2025,COL-7274389,2,Coles,42.56,Coles Deli Thawed Australian MSC Raw Banana Prawns | approx 250g,0.93,8836819,Meat & Seafood,COL-76BA2A2B99,Store card,Male,Melbourne
28.17,23.2,28/4/2025,COL-D609231,1,Coles,23.2,Coles Deli Thawed Australian Cooked Black Tiger Prawns Extra Large | approx 250g,4.97,2686703,Meat & Seafood,COL-CED25C0B1D,Cash,Male,Brisbane
