_id,product_code,category,item_name,item_price,best_price,unit_price,special_text,promo_text,image,link
68a1c0379a405c5476087b45,6600082,N/A,Absolut Vodka Bottle 1L 1 Litre,73.00,73.00,per 1L,Age restricted item,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/6600082",https://www.igashop.com.au/product/absolut-vodka-bottle-1l-6600082
68a1c0379a405c5476087b46,25589,N/A,Admiral Lychees In Syrup 565 Gram,0.97,5.50,per 100g,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/25589",https://www.igashop.com.au/product/admiral-lychees-in-syrup-25589
68a1c0379a405c5476087b47,441646,N/A,Admiral Mandarin Segments 310 Gram,0.71,2.20,per 100g,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/441646",https://www.igashop.com.au/product/admiral-mandarin-segments-441646
68a1c0379a405c5476087b48,79350,N/A,Advil Liquid Capsules 20 Pack,N/A,5.00,$0.25 each,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/_79350",https://www.igashop.com.au/product/advil-liquid-capsules-79350
68a1c0379a405c5476087b49,170000000215,N/A,Advil Minis Liquid 20 Pack,N/A,6.00,$0.30 each,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/170000000215",https://www.igashop.com.au/product/advil-minis-liquid-170000000215
68a1c0379a405c5476087b4a,6637,N/A,Aerogard Insect Repellent Odourless Low Irritant 300 Gram,4.50,13.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/6637",https://www.igashop.com.au/product/aerogard-insect-repellent-odourless-low-irritant-6637
68a1c0379a405c5476087b4b,12298,N/A,Aerogard Insect Repellent Tropical Strength 20% Free 300 Gram,4.50,13.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/12298",https://www.igashop.com.au/product/aerogard-insect-repellent-tropical-strength-20-free-12298
68a1c0379a405c5476087b4c,180000000142,N/A,Aeroplane Jelly Berry Blue 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000142",https://www.igashop.com.au/product/aeroplane-jelly-berry-blue-180000000142
68a1c0459a405c5476087b4d,180000000144,N/A,Aeroplane Jelly Original Lemon 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000144",https://www.igashop.com.au/product/aeroplane-jelly-original-lemon-180000000144
68a1c0459a405c5476087b4e,180000000137,N/A,Aeroplane Jelly Original Lime 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000137",https://www.igashop.com.au/product/aeroplane-jelly-original-lime-180000000137
68a1c0459a405c5476087b4f,180000000145,N/A,Aeroplane Jelly Original Mango 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000145",https://www.igashop.com.au/product/aeroplane-jelly-original-mango-180000000145
68a1c0459a405c5476087b50,180000000146,N/A,Aeroplane Jelly Original Orange 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000146",https://www.igashop.com.au/product/aeroplane-jelly-original-orange-180000000146
68a1c0459a405c5476087b51,180000000147,N/A,Aeroplane Jelly Original Port Wine 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000147",https://www.igashop.com.au/product/aeroplane-jelly-original-port-wine-180000000147
68a1c0459a405c5476087b52,180000000148,N/A,Aeroplane Jelly Original Raspberry 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000148",https://www.igashop.com.au/product/aeroplane-jelly-original-raspberry-180000000148
68a1c0459a405c5476087b53,180000000149,N/A,Aeroplane Jelly Original Strawberry 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000149",https://www.igashop.com.au/product/aeroplane-jelly-original-strawberry-180000000149
68a1c0459a405c5476087b54,180000000143,N/A,Aeroplane Jelly Pineapple Jelly Crystals 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000143",https://www.igashop.com.au/product/aeroplane-jelly-pineapple-jelly-crystals-180000000143
68a1c0459a405c5476087b55,180000000141,N/A,Aeroplane Jelly Purple Grape 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000000141",https://www.igashop.com.au/product/aeroplane-jelly-purple-grape-180000000141
68a1c0459a405c5476087b56,160000018162,N/A,Aeroplane Jelly Watermelon Jelly Crystals 85 Gram,1.76,1.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/160000018162",https://www.igashop.com.au/product/aeroplane-jelly-watermelon-jelly-crystals-160000018162
68a1c0459a405c5476087b57,170177,N/A,Air Wick Botanica Candle Caribbean Vetiver & Sandalwood 205 Gram,4.88,10.00,per 100g,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/170177",https://www.igashop.com.au/product/air-wick-botanica-candle-caribbean-vetiver-sandalwood-170177
68a1c0459a405c5476087b58,766004,N/A,Air Wick Essential Oil Candle Cherry Blossom 105 Gram,5.71,6.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/766004",https://www.igashop.com.au/product/air-wick-essential-oil-candle-cherry-blossom-766004
68a1c0459a405c5476087b59,766169,N/A,Air Wick Essential Oil Candle Mango 105 Gram,5.71,6.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/766169",https://www.igashop.com.au/product/air-wick-essential-oil-candle-mango-766169
68a1c0459a405c5476087b5a,644040,N/A,Air Wick Essential Oil Candle Mountain Berry Blossom 105 Gram,5.71,6.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/644040",https://www.igashop.com.au/product/air-wick-essential-oil-candle-mountain-berry-blossom-644040
68a1c0459a405c5476087b5b,643989,N/A,Air Wick Essential Oil Candle Vanilla 105 Gram,5.71,6.00,per 100g,25% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/643989",https://www.igashop.com.au/product/air-wick-essential-oil-candle-vanilla-643989
68a1c0459a405c5476087b5c,345227,N/A,Air Wick Life Scent Reed Turquoise Oasis 30 Millilitre,36.33,10.90,per 100mL,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/345227",https://www.igashop.com.au/product/air-wick-life-scent-reed-turquoise-oasis-345227
68a1c0459a405c5476087b5d,643688,N/A,Air Wick Pure Air Freshener Le Spring Delight Prime 19 Millilitre,42.11,8.00,per 100mL,40% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/643688",https://www.igashop.com.au/product/air-wick-pure-air-freshener-le-spring-delight-prime-643688
68a1c0459a405c5476087b5e,677836,N/A,Ajax Cream Cleaner Baking Soda 375 Millilitre,1.00,3.75,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/677836",https://www.igashop.com.au/product/ajax-cream-cleaner-baking-soda-677836
68a1c0459a405c5476087b5f,1800000067367,N/A,Ajax Disinfectant Lemon Cleanse Trigger 750 Millilitre,0.80,6.00,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/1800000067367",https://www.igashop.com.au/product/ajax-disinfectant-lemon-cleanse-trigger-1800000067367
68a1c0459a405c5476087b60,687658,N/A,Ajax Eco Antibacterial Disinfectant Cleaning Wipes Lemon 110 Pack,N/A,10.35,$0.09 each,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/687658",https://www.igashop.com.au/product/ajax-eco-antibacterial-disinfectant-cleaning-wipes-lemon-687658
68a1c04a9a405c5476087b61,392740,N/A,Ajax Professional Antibacterial Disinfectant Bathroom Clean 500 Millilitre,0.70,3.50,per 100mL,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/392740",https://www.igashop.com.au/product/ajax-professional-antibacterial-disinfectant-bathroom-clean-392740
68a1c04a9a405c5476087b62,87549,N/A,Ajax Professional Mould Power Household Cleaner Trigger 500 Millilitre,0.70,3.50,per 100mL,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/87549",https://www.igashop.com.au/product/ajax-professional-mould-power-household-cleaner-trigger-87549
68a1c04a9a405c5476087b63,37434,N/A,Ajax Spray n' Wipe Multi-Purpose Antibacterial Disinfectant Cleaner Lemon Citrus Refill 750 Millilitre,0.53,4.00,per 100mL,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/37434",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-antibacterial-disinfectant-cleaner-lemon-citrus-refill-37434
68a1c04a9a405c5476087b64,330811,N/A,Ajax Spray n' Wipe Multi-Purpose Antibacterial Disinfectant Cleaner Trigger Surface Spray Apple & Citrus 500 Millilitre,0.70,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/330811",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-antibacterial-disinfectant-cleaner-trigger-surface-spray-apple-citrus-330811
68a1c04a9a405c5476087b65,347826,N/A,Ajax Spray n' Wipe Multi-Purpose Antibacterial Disinfectant Cleaner Trigger Surface Spray Lavender & Citrus 500 Millilitre,0.70,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/347826",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-antibacterial-disinfectant-cleaner-trigger-surface-spray-lavender-citrus-347826
68a1c04a9a405c5476087b66,37442,N/A,Ajax Spray n' Wipe Multi-Purpose Antibacterial Disinfectant Cleaner Trigger Surface Spray Lemon Citrus 500 Millilitre,0.70,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/37442",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-antibacterial-disinfectant-cleaner-trigger-surface-spray-lemon-citrus-37442
68a1c04a9a405c5476087b67,37450,N/A,Ajax Spray n' Wipe Multi-Purpose Antibacterial Disinfectant Cleaner Trigger Surface Spray Ocean Fresh 500 Millilitre,0.70,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/37450",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-antibacterial-disinfectant-cleaner-trigger-surface-spray-ocean-fresh-37450
68a1c04a9a405c5476087b68,941285,N/A,Ajax Spray n' Wipe Multi-Purpose Kitchen & Bathroom Cleaner Trigger Surface Spray Vanilla & Berries 475 Millilitre,0.74,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/941285",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-kitchen-bathroom-cleaner-trigger-surface-spray-vanilla-berries-941285
68a1c04a9a405c5476087b69,630326,N/A,Ajax Spray n' Wipe Multi-Purpose Kitchen Household Cleaner Trigger Surface Spray Baking Soda & Citrus Stone Safe 500 Millilitre,0.70,3.50,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/630326",https://www.igashop.com.au/product/ajax-spray-n-wipe-multi-purpose-kitchen-household-cleaner-trigger-surface-spray-baking-soda-citrus-stone-safe-630326
68a1c04a9a405c5476087b6a,37395,N/A,Ajax Spray n' Wipe MultiPurpose Antibacterial Disinfectant Household Cleaner Lavender & Citrus Refill Value Pack 750 Millilitre,0.53,4.00,per 100mL,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/37395",https://www.igashop.com.au/product/ajax-spray-n-wipe-multipurpose-antibacterial-disinfectant-household-cleaner-lavender-citrus-refill-value-pack-37395
68a1c04a9a405c5476087b6b,180000005331,N/A,Allen's Berry Bunch 160 Gram,2.88,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/180000005331",https://www.igashop.com.au/product/allens-berry-bunch-180000005331
68a1c04a9a405c5476087b6c,659257,N/A,Allen's Big Red Frogs Family Size 420 Gram,1.31,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659257",https://www.igashop.com.au/product/allens-big-red-frogs-family-size-659257
68a1c04a9a405c5476087b6d,965386,N/A,Allen's Black Cats 170 Gram,2.71,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/965386",https://www.igashop.com.au/product/allens-black-cats-965386
68a1c04a9a405c5476087b6e,190000003434,N/A,Allen's Cheekies Lollies Bag 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/190000003434",https://www.igashop.com.au/product/allens-cheekies-lollies-bag-190000003434
68a1c04a9a405c5476087b6f,659299,N/A,Allen's Chew Mix Hang Bags 335 Gram,1.64,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659299",https://www.igashop.com.au/product/allens-chew-mix-hang-bags-659299
68a1c04a9a405c5476087b70,659231,N/A,Allen's Classic Party Mix Family Size 420 Gram,1.31,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659231",https://www.igashop.com.au/product/allens-classic-party-mix-family-size-659231
68a1c04a9a405c5476087b71,695135,N/A,Allen's Freckles 160 Gram,3.00,4.80,per 100g,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/695135",https://www.igashop.com.au/product/allens-freckles-695135
68a1c04a9a405c5476087b72,22183,N/A,Allen's Frogs Alive Lollies Bag 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/22183",https://www.igashop.com.au/product/allens-frogs-alive-lollies-bag-22183
68a1c04a9a405c5476087b73,695062,N/A,Allen's Jaffas 160 Gram,3.00,4.80,per 100g,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/695062",https://www.igashop.com.au/product/allens-jaffas-695062
68a1c04a9a405c5476087b74,17497,N/A,Allen's Jelly Beans Lollies Bag 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/17497",https://www.igashop.com.au/product/allens-jelly-beans-lollies-bag-17497
68a1c04f9a405c5476087b75,234811,N/A,Allen's Killer Pythons 192 Gram,2.40,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/234811",https://www.igashop.com.au/product/allens-killer-pythons-234811
68a1c04f9a405c5476087b76,650740,N/A,Allen's Killer Pythons Sweet & Sour 192 Gram,2.40,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/650740",https://www.igashop.com.au/product/allens-killer-pythons-sweet-sour-650740
68a1c04f9a405c5476087b77,608183,N/A,Allen's Kool Mints Made For Mouths 140 Gram,3.29,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/608183",https://www.igashop.com.au/product/allens-kool-mints-made-for-mouths-608183
68a1c04f9a405c5476087b78,659320,N/A,Allen's Minties Family Size 335 Gram,1.64,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659320",https://www.igashop.com.au/product/allens-minties-family-size-659320
68a1c04f9a405c5476087b79,440640,N/A,Allen's Minties Mint Chew Lollies Bag 150 Gram,3.07,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/440640",https://www.igashop.com.au/product/allens-minties-mint-chew-lollies-bag-440640
68a1c04f9a405c5476087b7a,25220,N/A,Allen's Party Mix 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/25220",https://www.igashop.com.au/product/allens-party-mix-25220
68a1c04f9a405c5476087b7b,659215,N/A,Allen's Party Mix Family Size 420 Gram,1.31,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659215",https://www.igashop.com.au/product/allens-party-mix-family-size-659215
68a1c04f9a405c5476087b7c,981861,N/A,Allen's Peaches & Cream 170 Gram,2.71,4.60,Allen's Peaches & Cream,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/981861",https://www.igashop.com.au/product/allens-peaches-cream-981861
68a1c04f9a405c5476087b7d,597913,N/A,Allen's Pineapples 170 Gram,2.71,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/597913",https://www.igashop.com.au/product/allens-pineapples-597913
68a1c04f9a405c5476087b7e,180000005820,N/A,Allen's Red Ripperz Confectionery Remix 150 Gram,3.07,4.60,Allen's Red Ripperz Confectionery Remix,Special,N/A,https://www.igashop.com.au/static/default-product-image.png,https://www.igashop.com.au/product/allens-red-ripperz-confectionery-remix-180000005820
68a1c04f9a405c5476087b7f,25288,N/A,Allen's Retro Party Mix Lollies Bag 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/25288",https://www.igashop.com.au/product/allens-retro-party-mix-lollies-bag-25288
68a1c04f9a405c5476087b80,2353,N/A,Allen's Ripe Raspberries 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/2353",https://www.igashop.com.au/product/allens-ripe-raspberries-2353
68a1c04f9a405c5476087b81,658015,N/A,Allen's Sherbies Confectionery Fruits 150 Gram,3.07,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/658015",https://www.igashop.com.au/product/allens-sherbies-confectionery-fruits-658015
68a1c04f9a405c5476087b82,659192,N/A,Allen's Snakes Alive Family Size 405 Gram,1.36,5.50,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/659192",https://www.igashop.com.au/product/allens-snakes-alive-family-size-659192
68a1c04f9a405c5476087b83,18029,N/A,Allen's Snakes Alive Lollies Bag 200 Gram,2.30,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/18029",https://www.igashop.com.au/product/allens-snakes-alive-lollies-bag-18029
68a1c04f9a405c5476087b84,658845,N/A,Allen's Spearmint Leaves Confectionery 160 Gram,2.88,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/658845",https://www.igashop.com.au/product/allens-spearmint-leaves-confectionery-658845
68a1c04f9a405c5476087b85,21763,N/A,Allen's Strawberry & Cream Lollies Bag 190 Gram,2.42,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/21763",https://www.igashop.com.au/product/allens-strawberry-cream-lollies-bag-21763
68a1c04f9a405c5476087b86,441361,N/A,Allen's XXX Mints 150 Gram,3.07,4.60,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/441361",https://www.igashop.com.au/product/allens-xxx-mints-441361
68a1c04f9a405c5476087b87,180000002836,N/A,Allpress Coffee Still Iced Coffee 4 Pack,N/A,5.00,$1.25 each,Better than 1/2 Price,N/A,https://www.igashop.com.au/static/default-product-image.png,https://www.igashop.com.au/product/allpress-coffee-still-iced-coffee-180000002836
68a1c04f9a405c5476087b88,18794,N/A,Ally Pink Salmon 210 Gram,2.38,5.00,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/18794",https://www.igashop.com.au/product/ally-pink-salmon-18794
68a1c0539a405c5476087b89,414194,N/A,Ally Pink Salmon 415 Gram,1.69,7.00,per 100g,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/414194",https://www.igashop.com.au/product/ally-pink-salmon-414194
68a1c0539a405c5476087b8a,20000003193,N/A,Aloe Mate Aloe Vera Lychee 500 Millilitre,0.59,2.95,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/20000003193",https://www.igashop.com.au/product/aloe-mate-aloe-vera-lychee-20000003193
68a1c0539a405c5476087b8b,20000003315,N/A,Aloe Mate Aloe Vera Mango 500 Millilitre,0.59,2.95,per 100mL,Special,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/20000003315",https://www.igashop.com.au/product/aloe-mate-aloe-vera-mango-20000003315
68a1c0539a405c5476087b8c,647080,N/A,Alula Advance+ Stage 1 Newborn Infant Formula 0-6 Months 800 Gram,4.25,34.00,per 100g,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/647080",https://www.igashop.com.au/product/alula-advance-stage-1-newborn-infant-formula-0-6-months-647080
68a1c0539a405c5476087b8d,647103,N/A,Alula Advance+ Stage 2 Follow-On Formula 6-12 Months 800 Gram,4.25,34.00,per 100g,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/647103",https://www.igashop.com.au/product/alula-advance-stage-2-follow-on-formula-6-12-months-647103
68a1c0539a405c5476087b8e,170000004671,N/A,Alula S-26 Gold Stage 2 Follow-On Formula 6-12 Months 900 Gram,3.17,28.50,per 100g,20% Off,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/170000004671",https://www.igashop.com.au/product/alula-s-26-gold-stage-2-follow-on-formula-6-12-months-170000004671
68a1c0539a405c5476087b8f,170000004672,N/A,Alula S-26 Gold Stage 3 Toddler Milk Drink 1 Year+ 900 Gram,2.72,24.50,per 100g,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/170000004672",https://www.igashop.com.au/product/alula-s-26-gold-stage-3-toddler-milk-drink-1-year-170000004672
68a1c0539a405c5476087b90,170000004673,N/A,Alula S-26 Gold Stage 4 Junior Milk Drink 2 Years+ 900 Gram,2.72,24.50,per 100g,N/A,N/A,"https://cdn.metcash.media/image/upload/f_auto,c_limit,w_300,q_auto/igashop/images/170000004673",https://www.igashop.com.au/product/alula-s-26-gold-stage-4-junior-milk-drink-2-years-170000004673
