sessions_count,avg_engagement_time_sec,pageviews_per_session,compare_ratio,specials_ratio,mylists_ratio,category_browse_ratio,product_detail_ratio,unique_pages_visited,browsing_entropy,days_since_first_visit,days_since_last_activity,user_pseudo_id,reporting_window_start,reporting_window_end,is_included_in_run
1,32.96,2.27,0.0,0.0,0.0,0.038,0.0188,2,0.0144,6,1,syn_20260831_000044,2026-08-17,2026-08-30,1
1,7.93,2.67,0.0,0.0,0.0,0.0395,0.0398,3,0.1231,9,4,syn_20260831_000045,2026-08-17,2026-08-30,1
1,18.77,2.8,0.0,0.0,0.0,0.0288,0.0039,2,0.1965,9,1,syn_20260831_000046,2026-08-17,2026-08-30,1
4,150.24,5.43,0.2173,0.3357,0.0198,0.129,0.0214,11,0.77,14,0,syn_20260831_000047,2026-08-17,2026-08-30,1
3,138.22,7.74,0.0472,0.0233,0.0136,0.1275,0.3,9,0.53,14,0,syn_20260831_000048,2026-08-17,2026-08-30,1
5,105.51,5.02,0.3273,0.1928,0.0316,0.1144,0.0011,8,0.831,5,3,syn_20260831_000049,2026-08-17,2026-08-30,1
1,29.27,2.28,0.0,0.0,0.0,0.005,0.0157,2,0.0,12,9,syn_20260831_000050,2026-08-17,2026-08-30,1
7,169.43,7.06,0.0906,0.134,0.1659,0.1526,0.0955,18,0.6188,10,0,syn_20260831_000051,2026-08-17,2026-08-30,1
8,119.7,7.15,0.1349,0.0833,0.2557,0.1107,0.1145,14,0.665,12,1,syn_20260831_000052,2026-08-17,2026-08-30,1
2,14.16,3.66,0.0072,0.0198,0.0155,0.0524,0.01,4,0.1574,7,3,syn_20260831_000053,2026-08-17,2026-08-30,1
3,156.39,3.0,0.0277,0.0148,0.0,0.2255,0.245,6,0.404,8,1,syn_20260831_000054,2026-08-17,2026-08-30,1
3,227.08,3.0,0.0762,0.0348,0.0171,0.1726,0.254,9,0.3547,5,4,syn_20260831_000055,2026-08-17,2026-08-30,1
1,27.13,2.65,0.0,0.0,0.0,0.0389,0.0099,3,0.1391,9,4,syn_20260831_000056,2026-08-17,2026-08-30,1
3,209.11,6.0,0.0154,0.0167,0.0166,0.1282,0.3,9,0.5261,3,1,syn_20260831_000057,2026-08-17,2026-08-30,1
5,128.33,7.36,0.2084,0.2074,0.0393,0.0547,0.0743,9,0.7638,11,1,syn_20260831_000058,2026-08-17,2026-08-30,1
4,180.0,4.35,0.3257,0.2255,0.0409,0.1317,0.0465,13,0.7572,10,1,syn_20260831_000059,2026-08-17,2026-08-30,1
4,87.34,6.0,0.2632,0.35,0.0127,0.0948,0.0607,10,0.6823,13,1,syn_20260831_000060,2026-08-17,2026-08-30,1
1,36.88,2.16,0.0,0.0,0.0,0.049,0.0211,2,0.1881,10,4,syn_20260831_000061,2026-08-17,2026-08-30,1
1,6.02,2.88,0.0,0.0,0.0,0.0,0.0358,3,0.145,14,6,syn_20260831_000062,2026-08-17,2026-08-30,1
6,209.13,7.46,0.0716,0.0558,0.2295,0.173,0.0801,10,0.5359,11,3,syn_20260831_000063,2026-08-17,2026-08-30,1
2,146.5,3.0,0.0228,0.0221,0.05,0.1209,0.2408,6,0.4935,9,4,syn_20260831_000064,2026-08-17,2026-08-30,1
5,240.0,6.97,0.1172,0.1051,0.2452,0.114,0.133,14,0.6895,10,1,syn_20260831_000065,2026-08-17,2026-08-30,1
5,146.12,9.19,0.0732,0.15,0.15,0.1842,0.0959,18,0.7306,10,2,syn_20260831_000066,2026-08-17,2026-08-30,1
3,202.3,3.25,0.0603,0.0058,0.0283,0.2337,0.1577,8,0.3455,5,2,syn_20260831_000067,2026-08-17,2026-08-30,1
5,73.65,6.81,0.3191,0.2925,0.0488,0.0974,0.0869,12,0.8021,9,4,syn_20260831_000068,2026-08-17,2026-08-30,1
6,99.01,7.46,0.074,0.1021,0.2064,0.1244,0.119,10,0.6215,7,1,syn_20260831_000069,2026-08-17,2026-08-30,1
6,93.82,5.81,0.3073,0.35,0.0328,0.0674,0.0181,12,0.85,9,1,syn_20260831_000070,2026-08-17,2026-08-30,1
3,67.88,4.82,0.183,0.15,0.0102,0.0767,0.0884,13,0.7995,6,0,syn_20260831_000071,2026-08-17,2026-08-30,1
3,169.35,4.45,0.039,0.0458,0.0154,0.1634,0.1639,5,0.3741,9,4,syn_20260831_000072,2026-08-17,2026-08-30,1
5,158.76,6.0,0.2579,0.2496,0.0257,0.1092,0.0298,12,0.8405,13,3,syn_20260831_000073,2026-08-17,2026-08-30,1
6,240.0,6.06,0.0747,0.0622,0.2518,0.1543,0.0758,13,0.502,11,2,syn_20260831_000074,2026-08-17,2026-08-30,1
3,104.57,6.79,0.3334,0.2483,0.0048,0.147,0.1,14,0.6,9,3,syn_20260831_000075,2026-08-17,2026-08-30,1
1,7.66,2.24,0.0,0.0,0.0,0.0193,0.0131,2,0.1477,14,7,syn_20260831_000076,2026-08-17,2026-08-30,1
1,36.67,2.75,0.0,0.0,0.0,0.0307,0.0,2,0.1717,4,2,syn_20260831_000077,2026-08-17,2026-08-30,1
3,197.54,3.16,0.0474,0.0387,0.02,0.1765,0.1888,8,0.6,8,4,syn_20260831_000078,2026-08-17,2026-08-30,1
3,238.98,6.92,0.0656,0.0369,0.0154,0.151,0.1991,12,0.5918,5,3,syn_20260831_000079,2026-08-17,2026-08-30,1
2,180.83,4.27,0.0582,0.0,0.0369,0.1825,0.1775,6,0.4977,14,3,syn_20260831_000080,2026-08-17,2026-08-30,1
4,63.53,7.15,0.1883,0.2928,0.0088,0.1217,0.079,10,0.6255,14,2,syn_20260831_000081,2026-08-17,2026-08-30,1
4,149.62,3.52,0.0419,0.0084,0.0093,0.2398,0.1679,8,0.4266,8,1,syn_20260831_000082,2026-08-17,2026-08-30,1
6,94.58,4.64,0.289,0.2296,0.0212,0.148,0.1,11,0.6031,5,4,syn_20260831_000083,2026-08-17,2026-08-30,1
8,90.0,5.52,0.1208,0.0792,0.1927,0.1601,0.1093,18,0.5868,8,1,syn_20260831_000084,2026-08-17,2026-08-30,1
7,175.54,8.84,0.1456,0.1459,0.2832,0.1051,0.0785,11,0.6123,9,0,syn_20260831_000085,2026-08-17,2026-08-30,1
6,212.85,7.14,0.1393,0.15,0.2854,0.1143,0.0879,18,0.7009,11,1,syn_20260831_000086,2026-08-17,2026-08-30,1
2,23.13,4.0,0.0464,0.0453,0.0226,0.0982,0.0017,4,0.2573,6,1,syn_20260831_000087,2026-08-17,2026-08-30,1
6,90.0,9.5,0.1154,0.0788,0.2285,0.1602,0.0856,15,0.7072,11,2,syn_20260831_000088,2026-08-17,2026-08-30,1
5,126.19,7.71,0.0791,0.1489,0.2383,0.1684,0.0953,10,0.5891,6,2,syn_20260831_000089,2026-08-17,2026-08-30,1
1,21.87,2.8,0.0,0.0,0.0,0.0335,0.0301,3,0.0881,5,1,syn_20260831_000090,2026-08-17,2026-08-30,1
5,193.98,5.82,0.0951,0.1307,0.299,0.1138,0.1471,11,0.5011,5,1,syn_20260831_000091,2026-08-17,2026-08-30,1
4,76.73,7.21,0.2651,0.199,0.0069,0.0604,0.0433,15,0.6707,14,3,syn_20260831_000092,2026-08-17,2026-08-30,1
4,115.74,5.72,0.3322,0.2453,0.0373,0.11,0.0498,13,0.6865,9,2,syn_20260831_000093,2026-08-17,2026-08-30,1
4,208.47,7.73,0.0842,0.1225,0.2546,0.1928,0.1361,14,0.5,9,2,syn_20260831_000094,2026-08-17,2026-08-30,1
3,161.26,4.77,0.0537,0.05,0.0112,0.2416,0.2758,8,0.4224,5,3,syn_20260831_000095,2026-08-17,2026-08-30,1
5,90.0,5.07,0.0877,0.1203,0.2762,0.1815,0.0541,18,0.5645,13,3,syn_20260831_000096,2026-08-17,2026-08-30,1
1,28.0,2.36,0.0,0.0,0.0,0.0097,0.0396,2,0.1218,14,8,syn_20260831_000097,2026-08-17,2026-08-30,1
5,92.89,7.72,0.0601,0.121,0.1864,0.1225,0.122,20,0.5667,9,1,syn_20260831_000098,2026-08-17,2026-08-30,1
1,26.67,2.29,0.0,0.0,0.0,0.0326,0.0198,2,0.0,3,1,syn_20260831_000099,2026-08-17,2026-08-30,1
8,136.47,8.91,0.0573,0.0853,0.2361,0.1282,0.15,16,0.75,9,2,syn_20260831_000100,2026-08-17,2026-08-30,1
6,210.52,5.0,0.1022,0.1108,0.195,0.1696,0.1048,20,0.5866,9,2,syn_20260831_000101,2026-08-17,2026-08-30,1
4,258.71,3.0,0.0954,0.0,0.0367,0.1849,0.1691,6,0.3257,9,4,syn_20260831_000102,2026-08-17,2026-08-30,1
6,190.66,5.85,0.121,0.0678,0.2626,0.1773,0.1406,10,0.7048,9,3,syn_20260831_000103,2026-08-17,2026-08-30,1
6,174.02,8.09,0.105,0.079,0.1968,0.19,0.1086,19,0.6017,9,1,syn_20260831_000104,2026-08-17,2026-08-30,1
3,110.6,4.0,0.3051,0.1602,0.0225,0.0958,0.0253,11,0.6972,6,2,syn_20260831_000105,2026-08-17,2026-08-30,1
6,82.95,5.91,0.216,0.1704,0.022,0.1351,0.0852,15,0.661,8,1,syn_20260831_000106,2026-08-17,2026-08-30,1
3,217.74,5.27,0.0039,0.0058,0.01,0.2204,0.1819,9,0.5589,6,4,syn_20260831_000107,2026-08-17,2026-08-30,1
1,40.0,2.3,0.0,0.0,0.0,0.0346,0.0438,2,0.0293,2,0,syn_20260831_000108,2026-08-17,2026-08-30,1
5,180.0,5.37,0.3299,0.2771,0.0029,0.1337,0.0345,10,0.7404,14,1,syn_20260831_000109,2026-08-17,2026-08-30,1
6,111.04,4.62,0.2521,0.296,0.024,0.1005,0.0914,9,0.8324,4,3,syn_20260831_000110,2026-08-17,2026-08-30,1
3,196.93,7.5,0.0951,0.0377,0.082,0.1087,0.1588,7,0.6524,6,5,syn_20260831_000111,2026-08-17,2026-08-30,1
5,224.51,8.16,0.0707,0.1121,0.2923,0.1132,0.0572,12,0.6021,6,2,syn_20260831_000112,2026-08-17,2026-08-30,1
5,82.27,5.55,0.2823,0.2607,0.0272,0.0529,0.0898,10,0.6793,3,2,syn_20260831_000113,2026-08-17,2026-08-30,1
1,38.3,2.61,0.0,0.0,0.0,0.0418,0.0283,2,0.1854,11,3,syn_20260831_000114,2026-08-17,2026-08-30,1
5,81.14,5.13,0.2063,0.2911,0.0157,0.0628,0.066,12,0.7289,14,3,syn_20260831_000115,2026-08-17,2026-08-30,1
1,24.81,2.69,0.0,0.0,0.0,0.0155,0.0178,3,0.1108,1,0,syn_20260831_000116,2026-08-17,2026-08-30,1
4,108.09,5.46,0.1932,0.1717,0.0051,0.088,0.0787,8,0.6656,6,3,syn_20260831_000117,2026-08-17,2026-08-30,1
8,102.18,6.5,0.1007,0.0751,0.17,0.1097,0.1035,13,0.6879,9,1,syn_20260831_000118,2026-08-17,2026-08-30,1
6,74.78,6.51,0.1968,0.2209,0.0157,0.15,0.0512,10,0.788,8,2,syn_20260831_000119,2026-08-17,2026-08-30,1
7,190.47,7.44,0.1084,0.0696,0.2563,0.1251,0.128,15,0.7155,5,0,syn_20260831_000120,2026-08-17,2026-08-30,1
3,192.13,4.31,0.0703,0.0322,0.0434,0.1502,0.2434,6,0.3197,9,4,syn_20260831_000121,2026-08-17,2026-08-30,1
3,88.06,6.87,0.2923,0.2937,0.0277,0.082,0.0609,9,0.6992,10,4,syn_20260831_000122,2026-08-17,2026-08-30,1
3,93.15,6.45,0.2945,0.3185,0.0255,0.0955,0.0303,9,0.6334,5,1,syn_20260831_000123,2026-08-17,2026-08-30,1
7,142.18,8.77,0.1135,0.1155,0.2619,0.1574,0.1031,13,0.5675,9,1,syn_20260831_000124,2026-08-17,2026-08-30,1
1,40.0,2.5,0.0,0.0,0.0,0.0443,0.0418,2,0.046,9,6,syn_20260831_000125,2026-08-17,2026-08-30,1
5,77.77,5.46,0.3032,0.1821,0.0016,0.0931,0.0374,10,0.6418,14,2,syn_20260831_000126,2026-08-17,2026-08-30,1
7,143.96,9.21,0.0668,0.138,0.1985,0.1237,0.1317,11,0.75,10,2,syn_20260831_000127,2026-08-17,2026-08-30,1
4,124.96,6.6,0.15,0.3079,0.05,0.0709,0.0191,8,0.7994,8,0,syn_20260831_000128,2026-08-17,2026-08-30,1
2,18.51,2.06,0.0396,0.0475,0.05,0.0934,0.0269,2,0.1516,6,1,syn_20260831_000129,2026-08-17,2026-08-30,1
2,17.87,3.67,0.0311,0.0487,0.0189,0.0541,0.0289,3,0.2247,2,1,syn_20260831_000130,2026-08-17,2026-08-30,1
4,94.31,7.4,0.3141,0.2529,0.0468,0.0865,0.0814,13,0.763,9,4,syn_20260831_000131,2026-08-17,2026-08-30,1
1,24.73,2.82,0.0,0.0,0.0,0.0403,0.0408,2,0.128,9,2,syn_20260831_000132,2026-08-17,2026-08-30,1
5,167.14,6.56,0.3242,0.35,0.039,0.0686,0.0568,15,0.6695,6,0,syn_20260831_000133,2026-08-17,2026-08-30,1
2,130.93,4.92,0.087,0.0485,0.0037,0.2,0.2904,7,0.6899,12,4,syn_20260831_000134,2026-08-17,2026-08-30,1
1,21.36,2.57,0.0,0.0,0.0,0.0166,0.0109,2,0.1487,9,0,syn_20260831_000135,2026-08-17,2026-08-30,1
2,292.39,3.99,0.0728,0.0118,0.0064,0.1,0.2064,8,0.376,9,3,syn_20260831_000136,2026-08-17,2026-08-30,1
5,109.21,4.28,0.2228,0.2099,0.0094,0.05,0.0297,13,0.7169,9,1,syn_20260831_000137,2026-08-17,2026-08-30,1
6,235.6,9.37,0.0923,0.0918,0.2332,0.1587,0.106,14,0.5,7,2,syn_20260831_000138,2026-08-17,2026-08-30,1
1,33.03,2.3,0.0,0.0,0.0,0.05,0.0124,2,0.1342,2,1,syn_20260831_000139,2026-08-17,2026-08-30,1
7,132.51,9.71,0.148,0.1071,0.2834,0.1717,0.1011,18,0.5821,9,3,syn_20260831_000140,2026-08-17,2026-08-30,1
1,19.95,2.61,0.0,0.0,0.0,0.0287,0.0258,2,0.1702,7,7,syn_20260831_000141,2026-08-17,2026-08-30,1
5,160.05,6.4,0.2345,0.1923,0.0109,0.102,0.0845,9,0.831,3,3,syn_20260831_000142,2026-08-17,2026-08-30,1
2,57.26,3.55,0.0204,0.018,0.0405,0.0804,0.0109,2,0.2139,4,4,syn_20260831_000143,2026-08-17,2026-08-30,1
6,60.0,6.71,0.2477,0.2476,0.0301,0.1129,0.0214,14,0.6908,9,2,syn_20260831_000144,2026-08-17,2026-08-30,1
2,28.03,3.48,0.0457,0.0498,0.0187,0.0742,0.0133,4,0.0401,9,3,syn_20260831_000145,2026-08-17,2026-08-30,1
3,60.0,6.18,0.2196,0.3209,0.0274,0.1396,0.0345,8,0.6568,9,1,syn_20260831_000146,2026-08-17,2026-08-30,1
1,13.27,2.74,0.0,0.0,0.0,0.0484,0.0001,3,0.1435,3,0,syn_20260831_000147,2026-08-17,2026-08-30,1
4,145.66,5.48,0.3334,0.1515,0.044,0.15,0.0353,14,0.8037,9,2,syn_20260831_000148,2026-08-17,2026-08-30,1
1,5.0,2.65,0.0,0.0,0.0,0.014,0.0084,2,0.1617,1,0,syn_20260831_000149,2026-08-17,2026-08-30,1
3,239.45,5.35,0.0,0.0335,0.0233,0.1326,0.2258,9,0.5896,9,1,syn_20260831_000150,2026-08-17,2026-08-30,1
7,182.76,7.96,0.0845,0.109,0.15,0.1588,0.0576,18,0.521,12,1,syn_20260831_000151,2026-08-17,2026-08-30,1
5,131.68,6.56,0.1473,0.1146,0.15,0.1138,0.1303,10,0.7213,9,3,syn_20260831_000152,2026-08-17,2026-08-30,1
6,127.82,7.45,0.3321,0.1882,0.0451,0.0809,0.0483,14,0.7837,3,3,syn_20260831_000153,2026-08-17,2026-08-30,1
5,160.71,5.44,0.15,0.3255,0.0452,0.0787,0.1,13,0.8167,9,3,syn_20260831_000154,2026-08-17,2026-08-30,1
6,132.72,6.59,0.3141,0.2182,0.0331,0.0525,0.0531,12,0.7521,14,1,syn_20260831_000155,2026-08-17,2026-08-30,1
3,182.62,4.96,0.0616,0.0276,0.0,0.2264,0.3,6,0.4069,10,5,syn_20260831_000156,2026-08-17,2026-08-30,1
1,31.83,2.31,0.0,0.0,0.0,0.0146,0.0234,2,0.0103,5,5,syn_20260831_000157,2026-08-17,2026-08-30,1
5,171.37,8.85,0.0647,0.0765,0.273,0.1984,0.1224,19,0.5777,7,2,syn_20260831_000158,2026-08-17,2026-08-30,1
5,82.2,7.03,0.1562,0.2196,0.0278,0.1372,0.021,15,0.677,13,1,syn_20260831_000159,2026-08-17,2026-08-30,1
4,76.43,4.64,0.2577,0.1517,0.0222,0.1076,0.0615,8,0.6722,8,2,syn_20260831_000160,2026-08-17,2026-08-30,1
6,97.12,7.26,0.3023,0.35,0.0255,0.1395,0.0009,15,0.7081,12,4,syn_20260831_000161,2026-08-17,2026-08-30,1
6,101.3,6.42,0.1765,0.35,0.0291,0.13,0.056,11,0.8191,10,4,syn_20260831_000162,2026-08-17,2026-08-30,1
6,238.61,7.19,0.1296,0.1483,0.242,0.1594,0.1223,10,0.5501,9,1,syn_20260831_000163,2026-08-17,2026-08-30,1
1,21.74,2.77,0.0,0.0,0.0,0.0268,0.0426,2,0.1574,4,3,syn_20260831_000164,2026-08-17,2026-08-30,1
4,131.61,6.12,0.2976,0.2921,0.0381,0.05,0.0649,15,0.7182,9,1,syn_20260831_000165,2026-08-17,2026-08-30,1
4,127.57,4.64,0.2694,0.2838,0.0278,0.0855,0.0539,13,0.6637,4,2,syn_20260831_000166,2026-08-17,2026-08-30,1
3,141.04,4.88,0.2488,0.2949,0.0161,0.1147,0.0428,14,0.7161,8,0,syn_20260831_000167,2026-08-17,2026-08-30,1
2,33.25,2.51,0.0047,0.0127,0.0088,0.0388,0.0102,5,0.2436,2,1,syn_20260831_000168,2026-08-17,2026-08-30,1
2,51.21,3.11,0.024,0.0,0.0186,0.0739,0.05,4,0.0588,3,2,syn_20260831_000169,2026-08-17,2026-08-30,1
5,67.45,6.98,0.2663,0.1856,0.0253,0.0921,0.0646,15,0.6073,9,3,syn_20260831_000170,2026-08-17,2026-08-30,1
3,180.0,5.29,0.1847,0.2509,0.0341,0.1017,0.1,14,0.7509,9,2,syn_20260831_000171,2026-08-17,2026-08-30,1
2,54.85,3.15,0.0325,0.0413,0.0147,0.0415,0.0126,3,0.1384,6,3,syn_20260831_000172,2026-08-17,2026-08-30,1
4,241.63,4.25,0.07,0.0056,0.0054,0.1318,0.1769,9,0.5613,12,5,syn_20260831_000173,2026-08-17,2026-08-30,1
1,36.59,2.56,0.0,0.0,0.0,0.0491,0.0376,2,0.1293,2,0,syn_20260831_000174,2026-08-17,2026-08-30,1
6,222.34,9.94,0.0828,0.087,0.1976,0.1481,0.0901,10,0.652,10,0,syn_20260831_000175,2026-08-17,2026-08-30,1
6,180.0,7.05,0.2981,0.194,0.0362,0.1303,0.0795,9,0.6184,9,3,syn_20260831_000176,2026-08-17,2026-08-30,1
5,123.96,6.55,0.32,0.2015,0.0236,0.0611,0.0786,12,0.6518,9,1,syn_20260831_000177,2026-08-17,2026-08-30,1
3,138.86,5.48,0.0612,0.0316,0.0103,0.1912,0.2796,7,0.3171,8,1,syn_20260831_000178,2026-08-17,2026-08-30,1
4,263.31,3.18,0.006,0.0352,0.024,0.2324,0.1676,7,0.5939,9,0,syn_20260831_000179,2026-08-17,2026-08-30,1
3,255.47,5.01,0.0804,0.0305,0.0412,0.1188,0.2458,10,0.4383,9,1,syn_20260831_000180,2026-08-17,2026-08-30,1
3,123.83,7.46,0.3415,0.2323,0.0232,0.0863,0.0985,9,0.7345,5,1,syn_20260831_000181,2026-08-17,2026-08-30,1
6,159.52,7.48,0.1047,0.1089,0.1868,0.1265,0.1363,15,0.6546,11,3,syn_20260831_000182,2026-08-17,2026-08-30,1
6,149.77,5.0,0.1278,0.128,0.2548,0.1,0.1184,18,0.5662,14,3,syn_20260831_000183,2026-08-17,2026-08-30,1
4,116.22,6.63,0.2051,0.2058,0.0257,0.0717,0.0925,13,0.8304,11,2,syn_20260831_000184,2026-08-17,2026-08-30,1
5,142.51,5.03,0.2926,0.15,0.0081,0.1389,0.0054,14,0.6768,9,2,syn_20260831_000185,2026-08-17,2026-08-30,1
3,137.46,5.95,0.0909,0.0331,0.01,0.1544,0.2094,9,0.522,5,1,syn_20260831_000186,2026-08-17,2026-08-30,1
6,192.63,6.11,0.1089,0.0594,0.2853,0.1711,0.0815,16,0.5888,9,1,syn_20260831_000187,2026-08-17,2026-08-30,1
2,26.85,3.89,0.0161,0.0,0.0205,0.0714,0.0,2,0.1851,10,1,syn_20260831_000188,2026-08-17,2026-08-30,1
6,89.29,6.04,0.2047,0.261,0.0468,0.0787,0.0766,10,0.7578,12,2,syn_20260831_000189,2026-08-17,2026-08-30,1
1,38.02,2.83,0.0,0.0,0.0,0.009,0.0273,3,0.0,9,7,syn_20260831_000190,2026-08-17,2026-08-30,1
4,169.01,6.15,0.2546,0.2991,0.0095,0.1052,0.0978,14,0.6564,8,4,syn_20260831_000191,2026-08-17,2026-08-30,1
4,152.84,5.39,0.2443,0.3057,0.0348,0.05,0.0899,15,0.6234,6,4,syn_20260831_000192,2026-08-17,2026-08-30,1
6,93.08,7.49,0.2536,0.2542,0.0183,0.1158,0.0157,15,0.6875,11,1,syn_20260831_000193,2026-08-17,2026-08-30,1
4,170.71,5.28,0.197,0.2584,0.025,0.0809,0.0277,10,0.7515,9,0,syn_20260831_000194,2026-08-17,2026-08-30,1
