Cart ID,Transaction ID,Customer ID,Gender,Location,Payment type,Item ID,Brand Name,Brand Size,Category,Subcategory,Unit Price,Best Price,Discount,Quantity,Total Item Price,Quality Score,Replaced,Substitute ID,Substitute Brand,Substitute Size,Substitute Price,Substitute Quality,Price Saved
13,76AA1678,CUS1799,Male,NSW,Credit Card,ITM50710,Jalna,500 mL,Dairy,Yogurt,23.48,18.55,0.21,5,92.75,3,Yes,IT91471,Jalna,500 mL,15.97,4.0,12.9
13,76AA1678,CUS1799,Male,NSW,Credit Card,ITM82173,Monster,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5,Yes,ITM54765,V,1500 mL,7.05,5.0,2.24
14,A0EBCBD3,CUS2000,Male,NSW,Cash,ITM91313,Lindt,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5,Yes,ITM28590,Cadbury,200 g,3.86,5.0,13.28
14,A0EBCBD3,CUS2000,Male,NSW,Cash,ITM54765,Monster,1500 mL,Beverages,Energy Drinks,9.15,7.05,0.23,5,35.25,5,No,,,,,,
14,A0EBCBD3,CUS2000,Male,NSW,Cash,ITM99787,Coles Brand,500 g,Meat,Pork,11.61,11.38,0.02,2,22.76,5,Yes,ITM76397,Barilla,500 g,9.69,5.0,3.38
14,A0EBCBD3,CUS2000,Male,NSW,Cash,ITM24138,Coles Finest,1500 g,Meat,Beef,13.67,13.12,0.04,3,39.36,5,Yes,ITM34814,Devondale,1000 mL,5.77,5.0,22.05
15,51526A20,CUS7668,Female,WA,Credit Card,ITM23219,Dairy Farmers,2000 mL,Dairy,Milk,22.6,17.4,0.23,2,34.8,3,Yes,ITM99586,Coles Brand,2000 mL,15.77,3.0,3.26
15,51526A20,CUS7668,Female,WA,Credit Card,ITM73444,TUC,200 g,Snacks,Biscuits,6.75,5.54,0.18,1,5.54,5,Yes,ITM80077,SPC,250 g,2.41,5.0,3.13
15,51526A20,CUS7668,Female,WA,Credit Card,ITM23219,Dairy Farmers,2000 mL,Dairy,Milk,22.6,17.4,0.23,2,34.8,3,Yes,ITM99586,Coles Brand,2000 mL,15.77,3.0,3.26
15,51526A20,CUS7668,Female,WA,Credit Card,ITM60476,Cadbury,250 g,Snacks,Chocolate,14.88,11.01,0.26,1,11.01,5,Yes,ITM81101,Coles Brand,300 g,8.36,5.0,2.65
16,BA9C9D72,CUS3779,Female,WA,Credit Card,ITM69622,Abbott's Village,1 pack,Bakery,Bread,10.32,7.84,0.24,3,23.52,5,Yes,ITM79306,Helga's,6 pack,6.01,5.0,5.49
16,BA9C9D72,CUS3779,Female,WA,Credit Card,ITM61269,Red Bull,2000 mL,Beverages,Energy Drinks,22.44,21.54,0.04,5,107.7,5,Yes,ITM99586,Monster,2000 mL,17.51,4.0,20.15
16,BA9C9D72,CUS3779,Female,WA,Credit Card,ITM23219,A2 Milk,2000 mL,Dairy,Milk,22.6,17.4,0.23,2,34.8,4,Yes,ITM99586,Coles Brand,2000 mL,15.77,3.0,3.26
16,BA9C9D72,CUS3779,Female,WA,Credit Card,ITM85988,Sara Lee,8 pack,Bakery,Cake,16.64,13.15,0.21,4,52.6,5,Yes,ITM79306,Tip Top,6 pack,6.01,5.0,28.56
16,BA9C9D72,CUS3779,Female,WA,Credit Card,ITM72983,Daily Juice,500 mL,Beverages,Juice,23.73,18.03,0.24,4,72.12,2,Yes,ITM50843,Berri,250 mL,17.13,3.0,3.6
17,B995A3A4,CUS4869,Female,VIC,Cash,ITM34535,Berri,500 mL,Beverages,Juice,14.57,13.7,0.06,4,54.8,5,Yes,ITM99787,Coles Brand,500 g,11.38,5.0,9.28
17,B995A3A4,CUS4869,Female,VIC,Cash,ITM79306,Helga's,6 pack,Bakery,Bread,7.8,6.01,0.23,1,6.01,5,Yes,ITM49802,Tip Top,2 pack,3.91,5.0,2.1
17,B995A3A4,CUS4869,Female,VIC,Cash,ITM14960,A2 Milk,500 mL,Dairy,Milk,2.35,2.16,0.08,4,8.64,5,Yes,ITM58614,Balfours,2 pack,1.65,5.0,2.04
18,CAA49EE1, CUS1405,Female,VIC,Debit Card,ITM76397,San Remo,500 g,Pantry,Pasta,10.42,9.69,0.07,1,9.69,5,Yes,ITM76900,Sunrice,750 g,3.73,5.0,5.96
18,CAA49EE1, CUS1405,Female,VIC,Debit Card,ITM45168,TUC,200 g,Snacks,Biscuits,10.73,8.15,0.24,2,16.3,5,Yes,ITM73444,Oreo,200 g,5.54,5.0,5.22
18,CAA49EE1, CUS1405,Female,VIC,Debit Card,ITM38731,Tip Top,6 pack,Bakery,Bread,6.35,5.59,0.12,1,5.59,5,Yes,ITM49021,Sara Lee,1 pack,4.54,5.0,1.05
18,CAA49EE1, CUS1405,Female,VIC,Debit Card,ITM73444,TUC,200 g,Snacks,Biscuits,6.75,5.54,0.18,1,5.54,5,Yes,ITM80077,SPC,250 g,2.41,5.0,3.13
19,C7107E5A,CUS7668,Male,QLD,Cash,ITM90456,Australian Fresh,1500 g,Produce,Vegetables,6.61,6.54,0.01,4,26.16,5,Yes,ITM70911,Australian Fresh,500 g,5.03,5.0,6.04
19,C7107E5A,CUS7668,Male,QLD,Cash,ITM57792,Mainland,1500 mL,Dairy,Cheese,22.27,16.03,0.28,5,80.15,3,Yes,ITM74950,Coles RSPCA Approved,1500 g,15.88,3.0,0.75
19,C7107E5A,CUS7668,Male,QLD,Cash,ITM34814,Devondale,1000 mL,Dairy,Cheese,6.07,5.77,0.05,1,5.77,5,Yes,ITM67652,Coles RSPCA Approved,1000 g,2.67,5.0,3.1
19,C7107E5A,CUS7668,Male,QLD,Cash,ITM53580,Schweppes,500 mL,Beverages,Soft Drinks,16.7,14.53,0.13,2,29.06,5,Yes,ITM38008,Schweppes,1500 mL,11.97,5.0,5.12
20,F3989909,CUS3102,Female,WA,Credit Card,ITM49902,Coles Brand,750 g,Meat,Pork,6.32,6.0,0.05,1,6.0,5,Yes,ITM14960,A2 Milk,500 mL,2.16,5.0,3.84
20,F3989909,CUS3102,Female,WA,Credit Card,ITM68123,Jalna,1000 mL,Dairy,Yogurt,11.94,8.6,0.28,1,8.6,5,Yes,ITM26641,Coles Brand,1000 mL,7.8,5.0,0.8
20,F3989909,CUS3102,Female,WA,Credit Card,ITM12293,Tilda,1000 g,Pantry,Rice,14.42,10.81,0.25,1,10.81,5,Yes,ITM76900,Tilda,750 g,3.91,5.0,6.9
20,F3989909,CUS3102,Female,WA,Credit Card,ITM28063,Coles Brand,1500 g,Produce,Vegetables,23.96,17.73,0.26,1,17.73,2,Yes,ITM28085,Australian Fresh,1000 g,17.21,2.0,0.52
20,F3989909,CUS3102,Female,WA,Credit Card,ITM91476,San Remo,1000 g,Pantry,Pasta,14.83,12.31,0.17,4,49.24,5,Yes,ITM14617,Bertocchi,1000 g,5.78,5.0,26.12
21,6D53685E,CUS4193,Male,WA,Credit Card,ITM65080,Australian Fresh,1500 g,Produce,Fruits,18.75,18.56,0.01,1,18.56,4,Yes,ITM35042,Coles Brand,1500 g,11.65,5.0,6.91
21,6D53685E,CUS4193,Male,WA,Credit Card,ITM12293,Sunrice,1000 g,Pantry,Rice,14.42,10.81,0.25,1,10.81,5,Yes,ITM76900,Tilda,750 g,3.91,5.0,6.9
21,6D53685E,CUS4193,Male,WA,Credit Card,ITM81805,Lilydale,250 g,Meat,Chicken,23.6,19.82,0.16,3,59.46,4,Yes,ITM38892,Golden Circle,250 mL,18.94,3.0,2.64
21,6D53685E,CUS4193,Male,WA,Credit Card,ITM91313,Lindt,200 g,Snacks,Chocolate,7.25,7.18,0.01,4,28.72,5,Yes,ITM28590,Cadbury,200 g,3.86,5.0,13.28
22,626564D1,CUS1799,Female,WA,Cash,ITM35671,Smith's,250 g,Snacks,Chips,17.23,13.09,0.24,5,65.45,4,Yes,ITM98744,Smith's,250 g,11.37,5.0,8.6
22,626564D1,CUS1799,Female,WA,Cash,ITM23586,Chobani,2000 mL,Dairy,Yogurt,19.96,15.97,0.2,1,15.97,5,Yes,ITM10665,Coles Brand,2000 mL,15.34,4.0,0.63
22,626564D1,CUS1799,Female,WA,Cash,ITM71806,Barilla,250 g,Pantry,Pasta,22.2,20.65,0.07,1,20.65,5,Yes,ITM81805,Lilydale,250 g,19.82,4.0,0.83
22,626564D1,CUS1799,Female,WA,Cash,ITM73376,Nestle,250 g,Snacks,Chocolate,14.07,12.8,0.09,2,25.6,5,Yes,ITM25291,Coles Brand,250 g,10.09,5.0,5.42
23,EF20380F,CUS5895,Female,VIC,Credit Card,ITM76900,Tilda,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5,Yes,ITM37711,Tilda,1000 g,2.25,5.0,1.48
23,EF20380F,CUS5895,Female,VIC,Credit Card,ITM14960,A2 Milk,500 mL,Dairy,Milk,2.35,2.16,0.08,4,8.64,5,Yes,ITM58614,Balfours,2 pack,1.65,5.0,2.04
23,EF20380F,CUS5895,Female,VIC,Credit Card,ITM14960,Dairy Farmers,500 mL,Dairy,Milk,2.35,2.16,0.08,4,8.64,5,Yes,ITM58614,Balfours,2 pack,1.65,5.0,2.04
23,EF20380F,CUS5895,Female,VIC,Credit Card,ITM53580,Pepsi,500 mL,Beverages,Soft Drinks,16.7,14.53,0.13,2,29.06,5,Yes,ITM38008,Schweppes,1500 mL,11.97,5.0,5.12
23,EF20380F,CUS5895,Female,VIC,Credit Card,ITM88148,Chobani,1500 mL,Dairy,Yogurt,14.25,14.11,0.01,2,28.22,5,Yes,ITM80294,Monster,1500 mL,11.65,5.0,4.92
24,31BDC5AE, CUS5515,Female,VIC,Credit Card,ITM74950,Coles RSPCA Approved,1500 g,Meat,Chicken,20.08,15.86,0.21,2,31.72,3,Yes,ITM99586,Coles Brand,2000 mL,15.77,3.0,0.18
24,31BDC5AE, CUS5515,Female,VIC,Credit Card,ITM76678,Coles Bakery,4 pack,Bakery,Pastries,19.96,14.97,0.25,3,44.91,3,Yes,ITM17443,Daily Juice,500 mL,14.68,3.0,0.87
24,31BDC5AE, CUS5515,Female,VIC,Credit Card,ITM90456,Australian Fresh,1500 g,Produce,Vegetables,6.61,6.54,0.01,4,26.16,5,Yes,ITM70911,Australian Fresh,500 g,5.03,5.0,6.04
24,31BDC5AE, CUS5515,Female,VIC,Credit Card,ITM12153,Barilla,250 g,Pantry,Pasta,9.22,7.56,0.18,4,30.24,5,Yes,IT71803,San Remo,300 g,4.54,5.0,12.08
25,DA9EE19F,CUS7178,Female,QLD,Cash,ITM80294,Red Bull,1500 mL,Beverages,Energy Drinks,12.14,11.65,0.04,2,23.3,5,Yes,ITM82173,Red Bull,1500 mL,7.61,5.0,8.08
25,DA9EE19F,CUS7178,Female,QLD,Cash,ITM91476,San Remo,1000 g,Pantry,Pasta,14.83,12.31,0.17,4,49.24,5,Yes,ITM14617,Bertocchi,1000 g,5.78,5.0,26.12
25,DA9EE19F,CUS7178,Female,QLD,Cash,ITM55462,Helga's,8 pack,Bakery,Bread,4.17,2.96,0.29,1,2.96,5,Yes,ITM32500,Bega,500 mL,1.66,5.0,1.3
25,DA9EE19F,CUS7178,Female,QLD,Cash,ITM32607,Edgell,750 g,Pantry,Canned Food,7.09,5.81,0.18,5,29.05,5,Yes,ITM80077,Heinz,250 g,2.41,5.0,17.0
26,E57FAD1D,CUS4852,Female,NSW,Cash,ITM49902,Coles Brand,750 g,Meat,Pork,6.32,6.0,0.05,1,6.0,5,Yes,ITM14960,A2 Milk,500 mL,2.16,5.0,3.84
26,E57FAD1D,CUS4852,Female,NSW,Cash,ITM28590,Arnott's,200 g,Snacks,Biscuits,24.88,20.65,0.17,3,61.95,4,Yes,ITM28469,Arnott's,100 g,18.98,4.0,5.01
26,E57FAD1D,CUS4852,Female,NSW,Cash,ITM61269,V,2000 mL,Beverages,Energy Drinks,22.44,21.54,0.04,5,107.7,4,Yes,ITM99586,Monster,2000 mL,17.51,4.0,20.15
27,A24E6CF5,CUS3479,Male,WA,Cash,ITM17443,Golden Circle,500 mL,Beverages,Juice,18.82,14.68,0.22,2,29.36,4,Yes,IT80492,Balfours,2 pack,13.15,4.0,3.06
27,A24E6CF5,CUS3479,Male,WA,Cash,ITM35008,V,250 mL,Beverages,Energy Drinks,15.96,13.09,0.18,1,13.09,5,Yes,ITM49103,Tip Top,2 pack,7.84,5.0,5.25
27,A24E6CF5,CUS3479,Male,WA,Cash,ITM54765,V,1500 mL,Beverages,Energy Drinks,9.15,7.05,0.23,5,35.25,5,No,,,,,,
27,A24E6CF5,CUS3479,Male,WA,Cash,ITM38892,Golden Circle,250 mL,Beverages,Juice,24.6,18.94,0.23,2,37.88,3,Yes,ITM50843,Golden Circle,250 mL,17.13,3.0,3.62
27,A24E6CF5,CUS3479,Male,WA,Cash,ITM61269,Coles Brand,2000 mL,Beverages,Energy Water,22.62,21.55,0.04,5,107.75,3,Yes,ITM99586,Monster,2000 mL,17.51,4.0,20.2
28,E73AD575,CUS9956,Female,WA,Credit Card,ITM99586,V,2000 mL,Beverages,Energy Drinks,20.13,17.51,0.13,4,70.04,4,Yes,ITM38008,Coca-Cola,1500 mL,11.97,5.0,22.16
28,E73AD575,CUS9956,Female,WA,Credit Card,ITM70406,Mainland,2000 mL,Dairy,Cheese,23.69,22.98,0.03,2,45.96,4,Yes,ITM61269,Coles Brand,2000 mL,21.55,3.0,2.86
28,E73AD575,CUS9956,Female,WA,Credit Card,ITM76900,Tilda,750 g,Pantry,Rice,3.77,3.73,0.01,1,3.73,5,Yes,ITM37711,Tilda,1000 g,2.25,5.0,1.48
29,240C1D44,CUS7859,Female,SA,Credit Card,ITM14617,Coles Brand,1000 g,Meat,Pork,7.22,5.78,0.2,1,5.78,5,Yes,ITM20351,Coles Brand,1000 g,4.25,5.0,1.53
29,240C1D44,CUS7859,Female,SA,Credit Card,ITM99787,Coles Brand,500 g,Meat,Pork,11.61,11.38,0.02,2,22.76,5,Yes,ITM76397,Barilla,500 g,9.69,5.0,3.38
29,240C1D44,CUS7859,Female,SA,Credit Card,ITM13754,Cadbury,200 g,Snacks,Chocolate,8.04,7.64,0.05,5,38.2,5,Yes,ITM91313,Cadbury,200 g,7.18,5.0,2.3
29,240C1D44,CUS7859,Female,SA,Credit Card,ITM81101,Smith's,300 g,Snacks,Chips,11.15,8.36,0.25,4,33.44,5,Yes,ITM45168,TUC,200 g,8.15,5.0,0.84
30,589FED84,CUS6919,Male,QLD,Credit Card,ITM79306,Abbott's Village,6 pack,Bakery,Bread,7.8,6.01,0.23,1,6.01,5,Yes,ITM49802,Tip Top,2 pack,3.91,5.0,2.1
30,589FED84,CUS6919,Male,QLD,Credit Card,ITM44138,Coles Brand,1000 g,Meat,Pork,7.22,5.78,0.2,1,5.78,5,Yes,ITM20351,Coles Brand,1000 g,4.25,5.0,1.53
30,589FED84,CUS6919,Male,QLD,Credit Card,ITM90145,Golden Circle,250 mL,Beverages,Juice,14.17,10.91,0.23,1,10.91,5,Yes,ITM35008,Coles Brand,250 mL,8.34,5.0,2.57
31,4E7B3EFA, CUS2341 ,Male,VIC,Debit Card,ITM66308,Oreo,200 g,Snacks,Biscuits,7.0,6.23,0.11,1,6.23,5,Yes,ITM73444,Oreo,200 g,5.54,5.0,0.69
31,4E7B3EFA, CUS2341 ,Male,VIC,Debit Card,ITM50843,Golden Circle,250 mL,Beverages,Juice,22.54,17.13,0.24,1,17.13,3,Yes,ITM17443,Daily Juice,500 mL,14.68,3.0,2.45
31,4E7B3EFA, CUS2341 ,Male,VIC,Debit Card,ITM71806,San Remo,250 g,Pantry,Pasta,22.2,20.65,0.07,1,20.65,4,Yes,ITM81805,Lilydale,250 g,19.82,4.0,0.83
31,4E7B3EFA, CUS2341 ,Male,VIC,Debit Card,ITM49902,Coles Brand,750 g,Meat,Pork,6.32,6.0,0.05,1,6.0,5,Yes,ITM14960,A2 Milk,500 mL,2.16,5.0,3.84
32,6FFCF7C3,CUS33 four,Male,QLD,Debit Card,ITM82173,Red Bull,1500 mL,Beverages,Energy Drinks,8.27,7.61,0.08,4,30.44,5,Yes,ITM54765,V,1500 mL,7.05,5.0,2.24
32,6FFCF7C3,CUS33 four,Male,QLD,Debit Card,ITM25291,Cadbury,250 g,Snacks,Chocolate,10.62,10.09,0.05,4,40.36,5,Yes,ITM13754,Nestle,200 g,7.64,5.0,9.8
32,6FFCF7C3,CUS33 four,Male,QLD,Debit Card,ITM34137,Heinz,500 g,Pantry,Canned Food,9.27,6.67,0.28,5,33.35,5,Yes,ITM32607,SPC,750 g,5.81,5.0,4.3
33,B450CA40,CUS6102,Male,QLD,Credit Card,ITM28590,Oreo,200 g,Snacks,Biscuits,24.88,20.65,0.17,3,61.95,3,Yes,ITM28469,Arnott's,100 g,18.98,4.0,5.01
33,B450CA40,CUS6102,Male,QLD,Credit Card,ITM67652,Tilda,1000 g,Pantry,Rice,2.3,2.25,0.02,5,11.25,5,Yes,ITM14960,Paul's,500 mL,2.16,5.0,0.45
33,B450CA40,CUS6102,Male,QLD,Credit Card,ITM78671,Nestle,150 g,Snacks,Chocolate,14.88,11.01,0.26,1,11.01,5,Yes,ITM81101,Coles Brand,300 g,8.36,5.0,2.65
33,B450CA40,CUS6102,Male,QLD,Credit Card,ITM65080,Coles Brand,1500 g,Produce,Fruits,18.75,18.56,0.01,1,18.56,4,Yes,ITM35042,Coles Brand,1500 g,11.65,5.0,6.91
