Item_ID,category,item_name,best_price,item_price,unit_price,sub-category,Brand,Discount,quantity,total_price,Transaction ID,Gender,Store,Location,Payment Method,Date
102154,"Dairy, Eggs & Fridge",Bega Cheese Slices Colby | 500g,10.0,10.0,20.001,,Bega,0.0,6,60.0,T-cf91f66828,Male,Coles,Sydney,Online,2024-12-14
747043,"Dairy, Eggs & Fridge",Black Swan Dip Taramosalata | 200g,3.5,4.0,2.001,,Black Swan,0.1,6,21.0,T-599f74947c,Male,Coles,Hobart,Cash,2024-12-29
609347,"Dairy, Eggs & Fridge",Big M Lactose Free Chocolate Milk | 500mL,2.9,2.9,5.801,,Big M,0.3,4,11.6,T-b0a73a239c,Female,Coles,Hobart,Cash,2024-12-24
207161,"Dairy, Eggs & Fridge",Coles Finest Margherita Pizza | 350g,6.5,6.5,1.861,,Coles,0.0,3,19.5,T-bbde628c54,Female,Coles,Sydney,Cash,2025-01-09
981512,"Dairy, Eggs & Fridge",Coles Dairy Cheese Slices Processed | 500g,4.75,4.75,9.501,,Coles,0.0,6,28.5,T-1adce53fb8,Female,Coles,Canberra,Cash,2024-12-03
202046,"Dairy, Eggs & Fridge",Coles Cheese Slices 84 pack | 1kg,12.5,12.5,12.501,,Coles,0.0,3,37.5,T-2115822480,Male,Coles,Brisbane,Cash,2025-02-13
372062,"Dairy, Eggs & Fridge",Coles Kitchen Cheese & Garlic Baguette | 250g,2.6,2.6,1.041,,Coles,0.0,4,10.4,T-47b6552119,Male,Coles,Hobart,Cash,2025-03-28
555152,"Dairy, Eggs & Fridge",Cocobella Coconut Yoghurt Vanilla | 900g,9.0,9.0,1.001,,Cocobella,0.0,4,36.0,T-e685f3db76,Male,Coles,Adelaide,Card,2025-04-20
372062,"Dairy, Eggs & Fridge",Coles Kitchen Cheese & Garlic Baguette | 250g,2.6,2.6,1.041,,Coles,0.0,2,5.2,T-42ff62f81b,Female,Coles,Perth,Card,2024-12-26
923526,Meat & Seafood,Coles RSPCA Approved Chicken Necks | 1kg,6.5,6.5,6.501,,Coles,0.0,4,26.0,T-e109e7a5a1,Female,Coles,Hobart,Voucher,2024-11-08
940552,Health & Beauty,Nad's Cotton Candy Waxing Dots | 200g,22.0,22.0,11.001,,Nad's,0.0,6,132.0,T-dcf08f29c1,Male,Coles,Canberra,Cash,2025-01-21
616126,Health & Beauty,L'Oreal Revitalift Moisturiser SPF 15 | 50mL,20.0,20.0,40.001,,L'Oreal,0.0,6,120.0,T-a85073957c,Male,Coles,Brisbane,Voucher,2025-03-05
546944,"Dairy, Eggs & Fridge",Bean Supreme Parsley Sage & Rosemary Sa ... 375g,8.5,8.5,2.271,,Babybel,0.2,2,17.0,T-d652486ea8,Male,Coles,Sydney,Card,2025-01-26
243836,Drinks,Bundaberg Craft Brewed Drink Traditional ... 4 pack,7.35,7.35,4.901,,Bundaberg,0.3,6,44.1,T-18d1b509ac,Male,Coles,Melbourne,Cash,2024-12-14
693721,Meat & Seafood,Coles No Added Hormone Beef Porterhouse ... 450g,18.0,18.0,40.001,,Coles,0.3,2,36.0,T-4fd926134a,Male,Coles,Melbourne,Online,2024-12-07
102730,"Dairy, Eggs & Fridge",Coles Perform Mexican Style Beef & Bean Soup | 400g,5.0,5.0,1.251,,Coles,0.3,4,20.0,T-a57f4821c0,Female,Coles,Adelaide,Card,2024-11-27
369418,"Dairy, Eggs & Fridge",Coles Cheddar Cheese Block | 1kg,9.9,9.9,9.901,,Coles,0.0,1,9.9,T-8c6ceb5a32,Male,Coles,Canberra,Cash,2025-02-17
398440,Drinks,Belvoir Farms Non Alc Peach 4x250mL | 4 pack,7.5,7.5,7.501,,Belvoir Farms,0.1,5,37.5,T-3f0c6ef280,Male,Coles,Darwin,Online,2024-11-15
889786,"Dairy, Eggs & Fridge",Black Swan Dip Babaganoush | 200g,3.5,4.0,2.001,,Black Swan,0.1,6,21.0,T-4c903c9aea,Male,Coles,Hobart,Online,2024-11-21
181380,"Dairy, Eggs & Fridge",Coles Cheese Shredded 4 Cheese Blend | 250g,5.0,5.0,20.001,,Coles,0.2,4,20.0,T-bb0cca447c,Male,Coles,Canberra,Cash,2025-03-09
215725,Meat & Seafood,Coles RSPCA Approved Chicken Burgers Plain ... 1.2kg,12.5,12.5,10.421,,Coles,0.0,6,75.0,T-5df959a9be,Female,Coles,Adelaide,Cash,2025-02-22
617544,Meat & Seafood,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,15.0,15.0,30.001,,Cleaver's,0.0,4,60.0,T-5bbe033912,Male,Coles,Perth,Card,2024-12-13
867098,"Dairy, Eggs & Fridge",Black Swan Dip Reduced Fat Tzatziki | 200g,3.5,4.0,2.001,,Black Swan,0.1,6,21.0,T-31c0f5eba8,Male,Coles,Adelaide,Cash,2025-01-31
673792,"Dairy, Eggs & Fridge",Chobani Fit High Protein Greek Yogurt Strawberry | 160g,2.8,2.8,1.751,,Chobani,0.2,2,5.6,T-0b7adcca43,Male,Coles,Hobart,Cash,2025-02-13
608183,Health & Beauty,L'Oreal Paris Volume Million Lashes Mascara Black | 9mL,19.5,28.0,31.111,,L'Oreal,0.0,2,39.0,T-71670c6a10,Female,Coles,Brisbane,Online,2024-12-07
985993,"Dairy, Eggs & Fridge",Bega Tasty Cheese Grated | 250g,7.5,7.5,30.001,,Bega,0.0,6,45.0,T-99cb86d266,Female,Coles,Hobart,Card,2025-02-23
736807,Meat & Seafood,Coles Deli RSPCA Approved Chicken Breast ... approx 250g,2.88,2.88,11.501,,Coles,0.0,4,11.52,T-b4028d52ba,Female,Coles,Canberra,Card,2025-02-14
546552,Bakery,Abbott's Bakery Harvest Seeds And Grain Bread | 750g,4.9,4.9,0.651,,Abbott's,0.0,1,4.9,T-e377d6a095,Female,Coles,Brisbane,Card,2025-04-14
616126,Health & Beauty,L'Oreal Revitalift Moisturiser SPF 15 | 50mL,20.0,20.0,40.001,,L'Oreal,0.0,4,80.0,T-19fc83dfa1,Male,Coles,Hobart,Voucher,2024-10-30
739494,"Dairy, Eggs & Fridge",Chris' Heritage Gluten Free Goat Cheese & Blac ... 170g,7.0,7.0,4.121,,Chris,0.2,4,28.0,T-9bdaacc2a6,Male,Coles,Canberra,Cash,2024-11-04
695319,"Dairy, Eggs & Fridge",Australia's Own Cholesterol Lowering Milk | 1L,2.8,2.8,2.801,,Australia's Own,0.1,1,2.8,T-bb85b77e98,Female,Coles,Melbourne,Online,2025-03-13
776797,Meat & Seafood,Coles Crumbed Pork Schnitzel | 300g,6.5,6.5,21.671,,Coles,0.0,4,26.0,T-971da1129a,Female,Coles,Brisbane,Cash,2025-03-19
886547,Health & Beauty,Nivea Sun Sensitive Protect SPF50 Sunscreen L ... 100mL,15.0,15.0,15.001,,Nivea,0.0,4,60.0,T-ecc9a7fe18,Female,Coles,Sydney,Cash,2024-12-12
813066,"Dairy, Eggs & Fridge",Bonsoy Soy Milk | 1L,4.5,4.5,4.5,,Bonsoy,0.0,3,13.5,T-ab40c431d1,Male,Coles,Sydney,Voucher,2025-01-07
363661,Bakery,Cadbury Caramel Cake Bars | 105g,6.0,6.0,5.711,,Cadbury,0.1,1,6.0,T-f2bb5ac6f6,Female,Coles,Hobart,Online,2025-04-01
919245,"Dairy, Eggs & Fridge",Chobani Greek Yogurt Pouch Raspberry | 140g,2.7,2.7,1.931,,Chobani,0.2,4,10.8,T-19cc6f7751,Female,Coles,Adelaide,Online,2025-03-09
525316,"Dairy, Eggs & Fridge",Ashgrove Tasmanian Smoked Cheddar The Hazards | 140g,6.5,6.5,46.431,,Ashgrove,0.2,4,26.0,T-7f40cc1a68,Female,Coles,Sydney,Voucher,2024-12-20
259831,"Dairy, Eggs & Fridge",Chris' Deli Dip Sundried Tomato Cashew & Feta | 170g,6.0,6.0,3.531,,Chris,0.2,1,6.0,T-4338f54c43,Male,Coles,Perth,Card,2024-11-28
195605,Drinks,Bundaberg Brewed Drink Sarsaparilla 4x375mL | 4 pack,7.35,7.35,4.901,,Bundaberg,0.3,5,36.75,T-3fff696886,Female,Coles,Sydney,Card,2024-11-22
120446,"Dairy, Eggs & Fridge",Bega Tasty Natural Cheese Slices 15 pack | 250g,7.5,7.5,30.001,,Bega,0.0,4,30.0,T-1fef9e7165,Female,Coles,Perth,Voucher,2025-03-01
164827,Health & Beauty,Myaura Body Wash Coconut | 300g,10.0,10.0,3.331,,Myaura,0.0,1,10.0,T-ed04e3229e,Female,Coles,Canberra,Card,2024-12-27
906315,Meat & Seafood,Cleaver's Organic Grass-Fed Beef Stifry | 450g,13.0,13.0,28.891,,Cleaver's,0.0,2,26.0,T-b1377008db,Male,Coles,Sydney,Voucher,2024-12-17
695319,"Dairy, Eggs & Fridge",Australia's Own Cholesterol Lowering Milk | 1L,2.8,2.8,2.801,,Australia's Own,0.1,5,14.0,T-4d6662962e,Male,Coles,Perth,Online,2025-04-13
590055,"Dairy, Eggs & Fridge",Coles Dairy Cheese Camembert Wrapped | 125g,2.8,2.8,22.401,,Coles,0.2,2,5.6,T-2251d5696c,Female,Coles,Darwin,Cash,2024-12-12
596037,Bakery,Coles Apple & Cinnamon Muffins | 4 pack,4.0,4.7,1.181,,Coles,0.0,2,8.0,T-e964309bfd,Female,Coles,Hobart,Card,2025-03-06
493551,Bakery,Coles 70% Lower Carb English Muffins 4 Pack | 200g,6.5,6.5,3.251,,Coles,0.0,6,39.0,T-e40ce42942,Female,Coles,Adelaide,Card,2025-04-01
620155,Bakery,Abbott's Bakery Country Grains Bread | 800g,4.9,4.9,0.611,,Abbott's,0.0,2,9.8,T-37722bd968,Female,Coles,Canberra,Cash,2024-12-02
987953,Pantry,Zafarelli Spirali Pasta No 56 | 500g,2.0,2.0,0.401,,Zafarelli,0.2,6,12.0,T-a7c33a2dcd,Male,Coles,Brisbane,Online,2025-02-27
548331,Meat & Seafood,Coles Cooked Prawns With Cocktail Sauce | 260g,12.5,12.5,48.081,,Coles,0.0,5,62.5,T-302c6337a8,Female,Coles,Hobart,Online,2025-04-21
663344,Meat & Seafood,Cleaver's Organic Grass-Fed Beef Scotch Fillet S ... 290g,15.5,15.5,53.451,,Cleaver's,0.0,2,31.0,T-cea5794c4d,Female,Coles,Canberra,Card,2024-10-23
514448,"Dairy, Eggs & Fridge",Black Swan Spring Onion Dip | 200g,3.5,4.0,2.001,,Black Swan,0.1,5,17.5,T-df199fdfdb,Female,Coles,Melbourne,Online,2024-11-17
948155,Drinks,Bushells Breakfast Tea Bags | 100 pack,4.5,4.5,2.251,,Bushells Blue,0.0,6,27.0,T-99dee8c3b4,Male,Coles,Darwin,Online,2024-11-16
973660,Health & Beauty,Pantene Nutrient Blends Shampoo Rosewater | 500mL,15.0,25.0,5.001,,Pantene,0.2,1,15.0,T-927d013437,Female,Coles,Brisbane,Cash,2025-02-18
817469,Meat & Seafood,Coles RSPCA Approved Chicken Wing ... approx 1.1kg,9.9,9.9,9.001,,Coles,0.0,5,49.5,T-2a71666569,Male,Coles,Canberra,Card,2025-01-23
937141,Health & Beauty,John Frieda Sheer Blonde Shampoo Moist Infusi ... 250mL,12.0,12.0,4.801,,John,0.1,3,36.0,T-4415890b30,Male,Coles,Melbourne,Voucher,2024-12-20
158584,Health & Beauty,Maui Moisture Coconut Oil Conditioner | 385mL,26.0,26.0,6.751,,Maui,0.0,2,52.0,T-1b4474c02f,Female,Coles,Darwin,Voucher,2025-03-04
419395,Bakery,Alpine Low Carb | 600g,7.5,7.5,1.251,,Alpine,0.0,2,15.0,T-17a2e18985,Male,Coles,Canberra,Online,2024-12-29
498113,Meat & Seafood,Coles Finest Carbon Neutral Pork Diced | 500g,9.0,9.0,18.001,,Coles,0.0,5,45.0,T-e145253ba5,Female,Coles,Canberra,Cash,2025-01-17
381018,Health & Beauty,Nivea Daily Essentials Toner Refreshing | 200mL,13.0,13.0,6.501,,Nivea,0.0,1,13.0,T-e03ad1662d,Female,Coles,Melbourne,Voucher,2024-12-23
466478,Drinks,Bickfords 100% Pure Cherry Juice | 1L,6.5,6.5,6.501,,Bickford's ,0.1,1,6.5,T-c3f8f955ee,Male,Coles,Hobart,Online,2024-11-28
353336,Drinks,Bickford's Cordial Tropical | 750mL,5.0,5.0,6.671,,Bickford's ,0.0,6,30.0,T-e54651e720,Female,Coles,Hobart,Voucher,2024-12-15
550728,"Dairy, Eggs & Fridge",Coles Kitchen Butter Chicken With Rice | 350g,7.0,7.5,2.141,,Coles,0.0,6,42.0,T-886359d0eb,Male,Coles,Canberra,Cash,2025-04-06
409637,Bakery,Balconi Trancetto Cacao Cakes 10 pack | 280g,5.45,5.45,1.951,,Balconi,0.2,4,21.8,T-2fae774fce,Male,Coles,Canberra,Cash,2025-03-05
923526,Meat & Seafood,Coles RSPCA Approved Chicken Necks | 1kg,6.5,6.5,6.501,,Coles,0.0,1,6.5,T-dac79b599a,Male,Coles,Perth,Voucher,2024-11-09
342073,Drinks,Boost Juice Berry Happy | 350mL,3.7,3.7,10.571,,Boost,0.0,2,7.4,T-6ae8ce24eb,Female,Coles,Brisbane,Voucher,2025-03-03
974055,"Dairy, Eggs & Fridge",25 Degrees South Baby Spinach and Fetta Ravioli ... 325g,9.0,9.0,2.771,,25 Degrees,0.0,5,45.0,T-81dd80f1a4,Female,Coles,Brisbane,Online,2024-12-03
190152,"Dairy, Eggs & Fridge",Australia's Own Soy Milk Barista | 1L,3.5,3.5,3.501,,Australia's Own,0.1,2,7.0,T-5f6cb9680d,Female,Coles,Adelaide,Cash,2024-10-23
357691,"Dairy, Eggs & Fridge",Coles Dairy Cheese Fetta Danish Style | 200g,3.3,3.3,16.501,,Coles,0.0,6,19.8,T-ea8f842bf6,Female,Coles,Perth,Online,2024-12-02
108046,"Dairy, Eggs & Fridge",Bulla Light Thickened Cooking Cream | 300mL,3.7,3.7,1.231,,Bulla,0.1,3,11.1,T-381fef01cf,Male,Coles,Canberra,Online,2025-03-28
151606,Health & Beauty,L'Oreal Men Expert Pure Carbon Face Wash | 100mL,6.6,6.6,6.601,,L'Oreal,0.0,5,33.0,T-2344992ff0,Male,Coles,Perth,Voucher,2025-02-08
981802,Meat & Seafood,Coles RSPCA Approved Chicken Thigh ... approx 1.2kg,16.2,16.2,13.501,,Coles,0.0,1,16.2,T-d858ff52f5,Female,Coles,Melbourne,Card,2025-03-02
926363,Bakery,Breadtop Matcha Custard Bun | 1 each,3.75,3.75,3.751,,Breadtop,0.0,5,18.75,T-aa19f195a7,Female,Coles,Hobart,Voucher,2024-11-21
771420,Health & Beauty,Nad's Men Down Under Removal Cream | 150mL,13.5,13.5,9.001,,Nad's,0.0,2,27.0,T-d56f68781f,Female,Coles,Canberra,Online,2025-01-20
193972,"Dairy, Eggs & Fridge",Activia Low Fat Vanilla Yoghurt 4x125g | 500g,5.75,5.75,1.151,,Active,0.2,1,5.75,T-8c96c9c10e,Male,Coles,Darwin,Voucher,2025-03-15
369418,"Dairy, Eggs & Fridge",Coles Cheddar Cheese Block | 1kg,9.9,9.9,9.901,,Coles,0.0,6,59.4,T-de42d87cce,Male,Coles,Perth,Voucher,2024-12-23
373617,Health & Beauty,Nivea Daily Essentials Exfoliating Scrub Gentle | 150mL,13.0,13.0,8.671,,Nivea,0.0,2,26.0,T-f77ca8f639,Male,Coles,Perth,Voucher,2025-01-20
801592,"Dairy, Eggs & Fridge",Arnotts Jatz & Extra Tasty Cheese | 33g,3.4,3.4,10.301,,Arnotts,0.1,2,6.8,T-ca78d87285,Female,Coles,Perth,Online,2024-10-25
267804,"Dairy, Eggs & Fridge",Coles Kitchen Beef Massaman Curry & Rice | 350g,7.0,7.5,2.141,,Coles,0.3,5,35.0,T-a1194aabc5,Male,Coles,Melbourne,Cash,2025-04-05
738866,Health & Beauty,L'Oreal Elvive Treatment Extraodinar ... 100mL,11.0,11.0,11.001,,L'Oreal,0.0,4,44.0,T-bf6d95aeb6,Male,Coles,Canberra,Card,2024-12-16
247411,"Dairy, Eggs & Fridge",Australia's Own Unsweetened Organic Almond ... 1L,3.1,3.1,3.101,,Australia's Own,0.1,5,15.5,T-85d56c74af,Male,Coles,Melbourne,Voucher,2024-11-28
427651,"Dairy, Eggs & Fridge",Black Swan Dip Reduced Fat Hommus | 200g,3.5,4.0,2.001,,Black Swan,0.1,3,10.5,T-3e9efd64ab,Female,Coles,Darwin,Voucher,2025-02-24
365815,Health & Beauty,KOi Finger Lime & Patchouli Hand Cream | 100mL,4.0,4.0,4.001,,KOi,0.0,4,16.0,T-3bf43af8c3,Male,Coles,Melbourne,Cash,2025-03-10
867098,"Dairy, Eggs & Fridge",Black Swan Dip Reduced Fat Tzatziki | 200g,3.5,4.0,2.001,,Black Swan,0.1,3,10.5,T-c8f3354c83,Male,Coles,Adelaide,Cash,2024-12-13
913292,Drinks,Arkadia Vegan Chai Tea | 240g,6.3,6.3,2.631,,Arkadia,0.0,6,37.8,T-daa47041e1,Female,Coles,Melbourne,Card,2024-11-23
616126,Health & Beauty,L'Oreal Revitalift Moisturiser SPF 15 | 50mL,20.0,20.0,40.001,,L'Oreal,0.0,6,120.0,T-a7bff51553,Male,Coles,Hobart,Cash,2024-10-31
574950,Meat & Seafood,Coles Made Easy Prosciutto Wrapped Chicken Breas ... 450g,10.0,10.0,22.221,,Coles,0.0,3,30.0,T-032b2fec44,Female,Coles,Brisbane,Cash,2025-02-14
617544,Meat & Seafood,Cleaver's Organic Grass-Fed Extra Lean Beef Mince | 500g,15.0,15.0,30.001,,Cleaver's,0.0,5,75.0,T-2df2aea521,Male,Coles,Hobart,Online,2024-12-13
947044,"Dairy, Eggs & Fridge",Big M Strawberry Flavoured Milk | 600mL,2.9,2.9,4.831,,Big M,0.3,6,17.4,T-e0aa7a67aa,Male,Coles,Hobart,Card,2024-12-25
897199,Bakery,Abe's Bagels Low Carb 4 Pack | 360g,5.5,5.5,1.531,,Abe's,0.1,2,11.0,T-7de730a991,Female,Coles,Darwin,Online,2024-11-17
240344,"Dairy, Eggs & Fridge",Coles Kitchen Chicken Tikka Masala With Rice | 350g,7.0,7.5,2.141,,Coles,0.2,3,21.0,T-fdd217f09e,Female,Coles,Hobart,Card,2024-12-15
193972,"Dairy, Eggs & Fridge",Activia Low Fat Vanilla Yoghurt 4x125g | 500g,5.75,5.75,1.151,,Active,0.2,4,23.0,T-69bf89af7b,Male,Coles,Perth,Cash,2025-03-15
471697,"Dairy, Eggs & Fridge",Bega Dairy Natural Tasty Cheese Slices 30 Pack | 500g,10.0,10.0,20.001,,Bega,0.0,6,60.0,T-c7eeacc272,Female,Coles,Perth,Cash,2025-01-08
259831,"Dairy, Eggs & Fridge",Chris' Deli Dip Sundried Tomato Cashew & Feta | 170g,6.0,6.0,3.531,,Chris,0.2,6,36.0,T-fd7aa8da24,Female,Coles,Darwin,Online,2025-04-13
225755,Health & Beauty,Maui Moisture Coconut Oil Shampoo | 385mL,26.0,26.0,6.751,,Maui,0.0,6,156.0,T-5cc15fb75c,Female,Coles,Brisbane,Voucher,2025-03-06
751590,Meat & Seafood,Coles Pork Ribs BBQ | approx 1.2kg,24.0,24.0,20.001,,Coles,0.0,4,96.0,T-1a471ef175,Female,Coles,Hobart,Card,2025-03-30
199747,Health & Beauty,Nivea Sun Sensitive Protect SPF50 Sunscreen L ... 200mL,21.5,21.5,10.751,,Nivea,0.0,5,107.5,T-80da80ffb4,Male,Coles,Sydney,Card,2025-04-12
903211,Meat & Seafood,Coles Graze Grass Fed No Added Hormone Beef Mince | 500g,10.0,10.0,20.001,,Coles,0.0,5,50.0,T-c1fa88399a,Female,Coles,Brisbane,Voucher,2024-12-19
344979,Meat & Seafood,British Family Pack Thin Pork Sausages | 1kg,12.0,12.0,12.001,,British,0.0,5,60.0,T-58e9fd31f4,Female,Coles,Sydney,Card,2025-03-11
880665,"Dairy, Eggs & Fridge",Cocobella Coconut Natural Yoghurt | 900g,9.0,9.0,1.001,,Cocobella,0.0,3,27.0,T-715692a1fb,Female,Coles,Darwin,Card,2025-01-10
503333,Meat & Seafood,Coles Finest Carbon Neutral Beef Mince | 500g,10.5,10.5,21.001,,Coles,0.2,2,21.0,T-54eed35d63,Female,Coles,Sydney,Online,2024-11-23
377918,"Dairy, Eggs & Fridge",Bulla Lactose Free Light Sour Cream | 200mL,4.1,4.1,2.051,,Bulla,0.1,5,20.5,T-9ecfec70a8,Male,Coles,Melbourne,Cash,2025-04-01
470823,"Dairy, Eggs & Fridge",Bio Original Cheese Block | 200g,7.0,7.0,35.001,,Bio,0.0,4,28.0,T-241235ef74,Female,Coles,Perth,Voucher,2025-02-06
986942,Drinks,Bundaberg Brewed Drink Sarsaparilla Diet 4x375mL | 4 pack,7.35,7.35,4.901,,Bundaberg,0.3,4,29.4,T-e4d8017e9e,Male,Coles,Adelaide,Online,2024-12-18
470823,"Dairy, Eggs & Fridge",Bio Original Cheese Block | 200g,7.0,7.0,35.001,,Bio,0.0,3,21.0,T-79d9cb9a9a,Female,Coles,Sydney,Voucher,2024-12-09
155613,"Dairy, Eggs & Fridge",Bega Strong & Bitey Vintage Cheese Slices 15x250g | 250g,7.5,7.5,30.001,,Bega,0.0,3,22.5,T-9c92a31b28,Male,Coles,Melbourne,Online,2025-01-10
832033,Health & Beauty,Nair Sensitive Facial Hair Removal Cream | 20g,6.8,6.8,34.001,,Nair,0.0,1,6.8,T-68b3a20aa2,Female,Coles,Melbourne,Card,2025-02-01
595633,"Dairy, Eggs & Fridge",Coles Kitchen BBQ Chicken & Bacon Pizza | 460g,6.0,6.5,1.411,,Coles,0.0,2,12.0,T-92b853d383,Male,Coles,Darwin,Card,2024-11-05
220755,"Dairy, Eggs & Fridge",Bega Cheese Strong & Bitey Vintage Grated | 250g,7.5,7.5,30.001,,Bega,0.0,1,7.5,T-bd83dfbbb3,Male,Coles,Darwin,Voucher,2025-03-27
693874,Meat & Seafood,Coles RSPCA Approved Chicken Breast Schnit ... 600g,10.5,10.5,17.501,,Coles,0.0,1,10.5,T-494d11a740,Male,Coles,Sydney,Cash,2024-12-29
343425,"Dairy, Eggs & Fridge",Black Swan French Onion Dip | 200g,3.5,4.0,2.001,,Black Swan,0.1,3,10.5,T-914d9d7cfa,Female,Coles,Melbourne,Card,2025-01-18
204597,"Dairy, Eggs & Fridge",Chobani Greek Yogurt Pouch Vanilla | 140g,2.7,2.7,1.931,,Chobani,0.2,4,10.8,T-7aea846824,Male,Coles,Sydney,Online,2024-10-24
233494,"Dairy, Eggs & Fridge",Chobani Fit High Protein Yogurt Pouch Strawberry | 140g,2.8,2.8,2.001,,Chobani,0.2,1,2.8,T-e6d26e72cb,Male,Coles,Adelaide,Online,2025-02-14
387640,"Dairy, Eggs & Fridge",Cocobella Coconut Passionfruit Yoghurt | 150g,1.25,1.25,0.831,,Cocobella,0.0,6,7.5,T-4f4829b451,Female,Coles,Brisbane,Card,2025-01-20
886547,Health & Beauty,Nivea Sun Sensitive Protect SPF50 Sunscreen L ... 100mL,15.0,15.0,15.001,,Nivea,0.0,4,60.0,T-6e76434d73,Female,Coles,Adelaide,Voucher,2024-12-12
427353,Meat & Seafood,Cleaver's Organic Grass-Fed Premium Beef Mince | 500g,14.0,14.0,28.001,,Cleaver's,0.0,1,14.0,T-5fe61594d4,Female,Coles,Sydney,Cash,2025-03-05
141470,"Dairy, Eggs & Fridge",Babushka's Probiotic Kefir Yoghurt Mango | 750g,4.7,4.7,0.631,,Babushka's Probiotic Kefir,0.1,5,23.5,T-f50eb74acc,Male,Coles,Sydney,Voucher,2025-02-16
293968,"Dairy, Eggs & Fridge",Black Swan Dip Chunky Sweet Potato & Cashews | 150g,5.0,5.0,3.331,,Black Swan,0.1,1,5.0,T-0c123f51b7,Male,Coles,Hobart,Cash,2025-02-24
194465,"Dairy, Eggs & Fridge",Australia's Own Smooth As Almond Milk | 1L,2.7,2.7,2.7,,Australia's Own,0.1,3,8.1,T-3db57601e5,Male,Coles,Sydney,Card,2025-03-13
546944,"Dairy, Eggs & Fridge",Bean Supreme Parsley Sage & Rosemary Sa ... 375g,8.5,8.5,2.271,,Babybel,0.2,3,25.5,T-3a5ca68453,Female,Coles,Sydney,Card,2025-02-26
485697,"Dairy, Eggs & Fridge",Chobani Fit High Protein Greek Yogurt Pouch Tropical | 140g,2.8,2.8,2.001,,Chobani,0.2,6,16.8,T-34d3f2f4bd,Female,Coles,Sydney,Card,2025-04-06
397690,"Dairy, Eggs & Fridge",Almond Breeze Extra Creamy Almond Milk | 1L,4.5,4.5,4.501,,Active,0.1,2,9.0,T-c4c6fe673b,Male,Coles,Adelaide,Voucher,2024-12-02
966075,Health & Beauty,L'Oreal Paris Elvive Bond Repair Conditioner | 150mL,9.5,9.5,6.331,,L'Oreal,0.0,2,19.0,T-3ceb656393,Female,Coles,Adelaide,Cash,2024-12-22
